store_id,store_name,address,category,lat,lng,annual_sales_usd,matched,layer,scrape_id,scrape_name,distance_m,similarity,note
RBA2000749,หจก.เคเค มินิมาร์ท,591 หมู่11 ต.หนองขาม อ.ศรีราชา,Minimart,13.32784833,101.0098583,"23,607.08",gap,-,ChIJEWk8awA1HTERhYsNI6MtRpA,4 7-Eleven หนองข้างคอก,382,0.0,"nearest pin 382m, sim 0.00"
RBA2000752,ร้านดี ดี มาร์ท,85/24 หมู่4 ต.พานทอง อ.พานทอง,Minimart,13.471803,101.09839,"11,291.18",gap,-,ChIJEX3E7wAxHTERZWIsbY70aJ4,7-Eleven,281,0.0,"nearest pin 281m, sim 0.00"
RBA2000755,บริษัท ซุปเปอร์มาร์ท (2000) จำกัด สำนักงานใหญ่,"18,20,22 ถนนเจตต์อำนาจ ต.บ้านบึง อ.บ้านบึง",SUPERMARKET,13.311043,101.113748,"110,650.44",covered,3_base_radius_200m,ChIJrRrbLckzHTERjL6h-xdO7X0,7-Eleven สาขา วิฑูรย์ดำริ (06332),41,0.02,within base radius (200m) for tier Large
RBA2000764,บริษัทสยามอินเตอร์โฮม จำกัด,316/3 หมู่12 ถนนทัพยา ต.หนองปรือ อ.บางละมุง,SUPERMARKET,12.905199,100.869636,"247,572.57",covered,3_base_radius_200m,ChIJT3LoxGCWAjERqauSMdCGvBY,Food Mart,31,0.0,within base radius (200m) for tier Large
RBA2000776,ร้านกล่อมจิตร,187/3 ม.7 ต.พานทอง อ.พานทอง,Minimart,13.472363,101.101128,"32,704.72",gap,-,ChIJEX3E7wAxHTERZWIsbY70aJ4,7-Eleven,437,0.0,"nearest pin 437m, sim 0.00"
RBA2000866,บริษัท ศิริโอสถ เมดมาร์ท จำกัด,7/4 ม.8 ตลาดเตาถ่าน ต.สัตหีบ อ.สัตหีบ,Minimart,12.762745,100.892149,"9,617.10",covered,3_base_radius_100m,ChIJ10qqbPeNAjERwKe1Za6_x68,7-Eleven,79,0.0,within base radius (100m) for tier Medium
RBA2000966,ร้านช.เจริญ,65-67 ต.พนัสนิคม อ.พนัสนิคม,Minimart,13.444847,101.181459,"6,893.92",covered,3_base_radius_100m,ChIJxxECtusvHTERFHqh6v2DI28,7-Eleven สาขา พนัสนิคม (00496),40,0.0,within base radius (100m) for tier Medium
RBA2000969,ร้านบ่อทองมาร์ท,155 หมู่1 ต.บ่อทอง อ.บ่อทอง,Minimart,13.282186,101.436949,"5,827.37",covered,3_base_radius_100m,ChIJf8m04qosAzERgGpIsNL8nqQ,บ่อทอง มาร์ท Bo Thong Mart,28,0.35,within base radius (100m) for tier Medium
RBA2000972,ร้านชัยพรสรรพสินค้า,7/1-2 หมู่2 ต.บางเสร่ อ.สัตหีบ,Minimart,12.762709,100.892825,"5,171.22",covered,3_base_radius_100m,ChIJ10qqbPeNAjERwKe1Za6_x68,7-Eleven,6,0.0,within base radius (100m) for tier Medium
RBA2000976,ห้างหุ้นส่วนจำกัดไผ่สีทอง  มินิมาร์ท,4/32-33 ม.4 ต.ดอนหัวฬ่อ อ.เมืองชลบุรี,SUPERMARKET,13.374703,101.012072,"53,341.04",gap,-,ChIJnRsxEcc1HTERkNZwv6sY_2s,7-Eleven,314,0.0,"nearest pin 314m, sim 0.00"
RBA2004364,ร้านสหกรณ์ไทยออยล์ จำกัด,99/99 หมู่9 ต.บางพระ อ.ศรีราชา,Minimart,13.16093833,100.9311733,"8,835.56",gap,-,ChIJEwdQ1AC3AjERj1gb_8D3MNk,7-Eleven,453,0.0,"nearest pin 453m, sim 0.00"
RBA2004367,ร้านสหกรณ์ไทยออย์ จำกัด,42/1 หมู่2 ต.ทุ่งสุขลา อ.ศรีราชา,Minimart,13.109832,100.915683,"6,811.98",gap,-,ChIJkfBRHXG5AjEReqdjd-lK2VQ,7-Eleven,215,0.0,"nearest pin 215m, sim 0.00"
RBA2004550,ร้านโชคชัยสมบูรณ์ฟาร์มาซี,74/4 ม.4 ต.พานทอง อ.พานทอง,Minimart,13.472237,101.096182,"45,124.74",gap,-,ChIJEX3E7wAxHTERZWIsbY70aJ4,7-Eleven,420,0.0,"nearest pin 420m, sim 0.00"
RBA2004636,ห้างหุ้นส่วนจำกัด เอ็น แอล ที เทรดดิ้ง 2554,17/36 ม.1 ต.หนองขาม อ.ศรีราชา,OTHERS (VAN),13.14931,100.94611,"35,443.49",gap,-,ChIJl7FTL-23AjERdFCKgepyPhw,7-eleven จีคอนโด (ศรีราชา) 19253,221,0.02,"nearest pin 221m, sim 0.02"
RBA2004639,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,2/39 ม.12 ต.นาป่า อ.เมืองชลบุรี,MOM AND POP LARGE,13.36397167,102.1926483,"44,906.52",gap,-,ChIJc0M-g0u3HDER--p5IjgzEww,T&W SHOP,52360,0.0,OUT OF SCRAPE AREA — nearest pin 52km away
RBA2004642,บริษัท รีเจ้นท์ พัทยา แคมปัส แมเนจเม้นท์ จำกัด,14/5 ม.3 ต.สุรศักดิ์ อ.ศรีราชา,MOM AND POP LARGE,13.3931307,101.2350859,"29,360.03",gap,-,ChIJSY3uKJ8vHTER3FQHMSmNy98,7-Eleven สาขา ตลาดหมอนนาง (พนัสนิคม) (13603),2777,0.03,"nearest pin 2777m, sim 0.03"
RBA2004644,บริษัทฟาร์มสุกรพนัสโภคภัณฑ์ จำกัด,113 ม.3 ต.คลองกิ่ว อ.บ้านบึง,MOM AND POP LARGE,,,"168,733.44",no_coords,-,,,,,needs geocoding
RBA2004651,ร้านนายดี งามเลิศ,85/28 ม.10 ต.หนองปรือ  อ.บางละมุง,OTHERS (VAN),13.393125,101.2350767,"589,585.02",gap,-,ChIJSY3uKJ8vHTER3FQHMSmNy98,7-Eleven สาขา ตลาดหมอนนาง (พนัสนิคม) (13603),2776,0.02,"nearest pin 2776m, sim 0.02"
RBA2004655,บริษัทแฮปปี้ฮับ จำกัด(สาขา 1),88/88 ถนน บางคล้า-แปลงยาว ต.บางคล้า  อ.บางคล้า,OTHERS (VAN),13.374715,101.0120833,"22,965.89",gap,-,ChIJnRsxEcc1HTERkNZwv6sY_2s,7-Eleven,316,0.0,"nearest pin 316m, sim 0.00"
RBA2004657,เฮียสมบูรณ์,188/73 ม.2 ต.มาบข่า อ.นิคมพัฒนา,WHOLESALE,13.34507333,100.9848283,"5,007,598.98",covered,3_base_radius_200m,ChIJpT2baAA1HTERxR3wXe1qoeQ,7-Eleven สาขา ถนนหนองข้างคอก-บ้านสวน (17977),40,0.0,within base radius (200m) for tier Large
RBA2004659,ร้านโลมามินิมาร์ท,237-239-241-243-245 ถนน ชุมพล ต.หน้าเมือง  อ.เมืองฉะเชิงเทรา,MOM AND POP LARGE,13.33023833,101.08085,"5,259.70",gap,-,ChIJhbgqbmUzHTER2vUBZBg7MCY,7-Eleven สาขา บ้านโป่ง (หนองซ้ำซาก) (16335),234,0.0,"nearest pin 234m, sim 0.00"
RBA2004660,ร้านตั้งจุ่งฮวด,217/1 หมู่.10 ซอย8 ถนน พัทยาสาย2 ต.หนองปรือ อ.บางละมุง,SUPERMARKET,13.39307333,101.23503,"9,688.32",gap,-,ChIJSY3uKJ8vHTER3FQHMSmNy98,7-Eleven สาขา ตลาดหมอนนาง (พนัสนิคม) (13603),2773,0.0,"nearest pin 2773m, sim 0.00"
RBA2004662,ร้านบึงทองสโตร์,"517,519 ถนน ชลบุรี-บ้านบึง ต.บ้านบึง อ.บ้านบึง",SUPERMARKET,12.95641667,100.891055,"6,782.26",covered,3_base_radius_200m,ChIJTy9c4ge-AjERHrE-NJFrGSE,7-Eleven,49,0.0,within base radius (200m) for tier Large
RBA2004663,กิจการร้านค้าสวัสดิการภายใน (กฝร.),2040 ม.1 ถ.สุขุมวิท ต.สัตหีบ อ.สัตหีบ,Minimart,12.658451,100.883264,"35,915.39",gap,-,ChIJYYZgZVmJAjER1B57GeG1vP4,7-Eleven สาขา ร้านค้าสวัสดิการภายในฐานทัพเรือสัตหีบ (02051),228,0.27,"military/welfare commissary (likely not on Google) — nearest pin 228m, sim 0.27"
RBA2004667,ร้านวิชิต,แผงตลาดสด ต.พนัสนิคม อ.พนัสนิคม,Minimart,13.443725,101.181386,"3,344.40",covered,3_base_radius_100m,ChIJxxECtusvHTERFHqh6v2DI28,7-Eleven สาขา พนัสนิคม (00496),97,0.0,within base radius (100m) for tier Medium
RBA2004669,ร้านกิจเจริญ,115 ต.พนัสนิคม อ.พนัสนิคม,SEMI WHOLESALE,13.448905,101.182183,"176,198.64",gap,-,ChIJMUMl_8YvHTERkFJ5IHwfPbY,CP Freshmart พนัสนิคม-ศรีกุญชร,246,0.0,"nearest pin 246m, sim 0.00"
RBA2004671,ร้าน มหาศักดิ์สวัสดิ์,252 หมู่1 ต.บ่อทอง อ.บ่อทอง,Minimart,13.282146,101.436785,278.64,covered,3_base_radius_100m,ChIJf8m04qosAzERgGpIsNL8nqQ,บ่อทอง มาร์ท Bo Thong Mart,18,0.0,within base radius (100m) for tier Medium
RBA2004672,ร้านเฮงดี,179/78  ม.1 ต.ปะตง อ.สอยดาว,SUPERMARKET,12.67593667,101.214025,"29,985.81",covered,3_base_radius_200m,ChIJybzOhOL7AjER22gG4p_7PW0,ทองมาเงินไป สาขาCJ.โรงพยาบาลกรุงเทพระยอง,11,0.0,within base radius (200m) for tier Large
RBA2004674,ร้านศศิวรรณ,333/40 หมู่ 7 ต.ทุ่งสุขลา อ.ศรีราชา,OTHERS (VAN),13.44486833,101.18007,"13,058.87",gap,-,ChIJxxECtusvHTERFHqh6v2DI28,7-Eleven สาขา พนัสนิคม (00496),178,0.0,"nearest pin 178m, sim 0.00"
RBA2004675,ร้านประกอบทรัพย์ 2,44 หมู่ที่ 3 ต.โคกปีบ อ.ศรีมโหสถ,MOM AND POP LARGE,14.05591167,101.3602033,"5,456.14",gap,-,ChIJteaU1iIhHTERKREPX1amScY,7-Eleven สาขา ทุ่งสะเดา (แปลงยาว) (15837),53027,0.0,OUT OF SCRAPE AREA — nearest pin 53km away
RBA2004676,บริษัท สี่แยกเซ็นเตอร์ จำกัด,148/1 ม.1 ต.ห้างสูง อ.หนองใหญ่,SEMI WHOLESALE,13.261158,101.318005,"272,077.38",gap,-,ChIJrbVG9lgrHTER1ob4o3_WgSI,7-Eleven สาขา PTTOR LPG หนองเสม็ด (10207),8374,0.0,OUT OF SCRAPE AREA — nearest pin 8km away
RBA2004679,ร้านจริงใจพานิช,230 หมู่5 ต.ท่าบุญมี อ.เกาะจันทร์,Minimart,13.38711,101.286148,"174,192.00",covered,3_base_radius_100m,ChIJj9nQoWQpHTER0dz-CW_b9wU,7-Eleven,77,0.0,within base radius (100m) for tier Medium
RBA2004680,ร้านเล็ก,334 หมู่ 1 สวนอุตสาหกรรมศรีราชา ถนนสุขาภิบาล 8 ต.บึง อ.ศรีราชา,OTHERS (VAN),13.264185,100.934,"4,686.24",gap,-,ChIJd5fWCv20AjERWgTnrRXcWFk,Chamlong Shop,626,0.0,"nearest pin 626m, sim 0.00"
RBA2004681,ร้านก.การค้า,40 หมู่ 1 ต.สัตหีบ,Minimart,12.6627399,100.8972704,"80,615.32",gap,-,ChIJIQS07_qLAjERfdjtNM8_asE,7-Eleven สาขา สัตหีบ (00223),264,0.0,"nearest pin 264m, sim 0.00"
RBA2004684,บริษัทที ที เอ็น เทรดดิ้ง จำกัด,218/7 ม.11 ต.ทุ่งสุขลา,SEMI WHOLESALE,13.37482333,101.0119967,"18,804.23",gap,-,ChIJnRsxEcc1HTERkNZwv6sY_2s,7-Eleven,317,0.0,"nearest pin 317m, sim 0.00"
RBA2004686,บจก.อนันต์เทรดดิ้ง(2025) สาขาสะพานสี่มาบยางพร,333/33 หมู่7 ต.บ่อวิน,Minimart,12.64168667,101.4940233,"52,778.61",gap,-,ChIJvapuggsGAzERd0vTrEZPvDM,7-Eleven,1192,0.0,"nearest pin 1192m, sim 0.00"
RBA2004691,ร้านบุญศิริ,56 ต.หนองขาม อ.ศรีราชา,SEMI WHOLESALE,13.059582,100.994745,"290,709.12",gap,-,ChIJqUKk2LbHAjERQ6slYzSjARI,7-Eleven สาขา หนองแขวะ (16132),1319,0.0,"nearest pin 1319m, sim 0.00"
RBA2004695,บริษัท เฉลิมไทยดีพาร์ทเมนท์สโตร์ จำกัด สำนักงานใหญ,709 ถ.สุขุมวิท ต.มะขามหย่ง อ.เมืองชลบุรี,SEMI WHOLESALE,13.371085,100.990984,"322,994.91",gap,-,ChIJA4Fvqcg1HTERPD_Jv_BKW3Q,CJ MORE ซีเจ มอร์ สาขาตลาดใหม่ชลบุรี,507,0.06,"nearest pin 507m, sim 0.06"
RBA2004722,บริษัทส.เปรมประเสริฐสุข จำกัด(สำนักงานใหญ),594/1-2 หมู่10 ถนนพัทยาใต้ ต.หนองปรือ อ.บางละมุง,Minimart,12.926742,100.875138,"26,271.91",gap,-,ChIJ-_7fBQCXAjERowacq_CPnis,Royal garden,496,0.0,"nearest pin 496m, sim 0.00"
RBA2004723,บริษัท เอกสโตร์แหลมฉบัง จำกัด,345/107หมู่ 10 ต.ทุ่งสุขลา อ.ศรีราชา,SEMI WHOLESALE,13.082202,100.936862,"39,206.52",gap,-,ChIJo3dwGwC5AjEREqkVnBulsts,Lotus's go fresh แหลมฉบังใต้ 3729,445,0.17,"nearest pin 445m, sim 0.17"
RBA2005513,บริษัท ศรีธิคำ มาร์เกตติ้ง จำกัด,57/5 หมู่ 6 ต.หนองปลาไหล อ.บางละมุง,SEMI WHOLESALE,12.992057,100.932934,"276,078.72",gap,-,ChIJWzoHiQO_AjERcGM0BI5ql0o,7-Eleven,921,0.0,"nearest pin 921m, sim 0.00"
RBA2005521,ร้านสวัสดิการ สอ.รฝ.,ค่าย สอ.รฝ. ต.สัตหีบ อ.สัตหีบ,Minimart,12.638588,100.939572,"17,409.15",gap,-,ChIJZzIOPFCLAjERjluDLRAl2zg,7-Eleven สาขา หมู่บ้านสามัคคี (08751),3086,0.02,"military/welfare commissary (likely not on Google) — nearest pin 3086m, sim 0.02"
RBA2005535,บริษัท อนันต์ ซุปเปอร์สโตร์  จำกัด,256/501 หมู่3 ต.บ่อวิน อ.ศรีราชา,Minimart,13.008163,101.070853,"84,083.61",covered,3_base_radius_100m,ChIJVYCL5PbBAjERNWFt5dwBJas,7-Eleven สาขา สุนิมิต (โป่งสะเก็ด) (05594),51,0.0,within base radius (100m) for tier Medium
RBA2005635,ชัยสวัสดิ์พาณิชยกิจ,85/28 หมู่ 10 ต.หนองปรือ อ.บางละมุง,SEMI WHOLESALE,12.919951,100.918178,"127,665.84",gap,-,ChIJ3e8ML7-VAjERJDO3q1vbTGc,Lotus's Go Fresh,533,0.0,"nearest pin 533m, sim 0.00"
RBA2005649,ห้างหุ้นส่วนจำกัด เทพภูชิชย์,244/105 หมู่6 ต.หนองปรือ อ.บางละมุง,SEMI WHOLESALE,12.923264,100.925306,"37,229.52",gap,-,ChIJBZ3mJpCVAjERaDxB_D24OvM,7-Eleven สาขา ทุ่งกลม-ตาลหมันพัฒนาการ 4 (16607),687,0.0,"nearest pin 687m, sim 0.00"
RBA2005656,บริษัท พร้อมส่ง หนองใหญ่ จำกัด,42 ม.1 ต.หนองใหญ่ อ.หนองใหญ่,Minimart,13.156548,101.378697,"589,212.00",gap,-,ChIJGVQ_Rh0pAzER11W8fP8JZAM,7-Eleven สาขา PTTOR ทางหลวง 344 หนองใหญ่-วังจันทร์ (18144),3857,0.14,"nearest pin 3857m, sim 0.14"
RBA2005665,บริษัท​  ศรีราชามงคลชัย​ จำกัด​,333/9 ม.6 ต.สุรศักดิ์ อ.ศรีราชา,WHOLESALE,13.362535,101.01528,"2,430.72",gap,-,ChIJl2mj_9k1HTERVxxzRErutv0,CJ MORE ซีเจ มอร์ สาขาบ้านสวน-เศรษฐกิจ 30,1199,0.02,"nearest pin 1199m, sim 0.02"
RBA2005788,ห้างหุ้นส่วน​จำกัด​ ทิชชู่​ชลบุรี​ สำนักงานใหญ่,54/8 ม.2 ต.บ้านสวน อ.เมืองชลบุรี,SEMI WHOLESALE,13.34512333,100.9848667,"111,978.43",covered,3_base_radius_200m,ChIJpT2baAA1HTERxR3wXe1qoeQ,7-Eleven สาขา ถนนหนองข้างคอก-บ้านสวน (17977),39,0.08,within base radius (200m) for tier Large
RBA2005789,บริษัท​ โสภณ​อีส​เทิร์น​เท​รดดิ้ง​ จำกัด,99/9 ​ม.6 ต.หนองปลาไหล อ.บางละมุง,Minimart,12.70861167,101.1710333,"42,115.04",gap,-,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,425,0.0,"nearest pin 425m, sim 0.00"
RBA2005790,บริษัท​ เบสท์​ แฟคตอรี่​ เอาท์เล็ท​ จำกัด,629​ ม.11​ ถ.สุขาภิบาล​ 8 ต.หนองขาม อ.ศรีราชา,SUPERMARKET,12.708705,101.1709567,"18,271.98",gap,-,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,412,0.0,"nearest pin 412m, sim 0.00"
RBA2005791,บริษัท​ สี่แยก​เซ็นเตอร์​  จำกัด,485  ถนนสุขุมวิท​ ต.แสนสุข อ.เมืองชลบุรี,SEMI WHOLESALE,13.264544,100.933924,"39,120.96",gap,-,ChIJd5fWCv20AjERWgTnrRXcWFk,Chamlong Shop,587,0.0,"nearest pin 587m, sim 0.00"
RBA2005795,บริษัท​ ศรีธิคำ​ มาร์เก็ต​ติ้ง​ จำ​กัด​,142/5 ม.3 ต.บึง อ.ศรีราชา,SEMI WHOLESALE,13.081787,100.997113,"33,383.64",covered,3_base_radius_200m,ChIJUwOTVJnHAjERAYhF7IbkxEY,7-Eleven,113,0.0,within base radius (200m) for tier Large
RBA2005801,บริษัทเบ็ดเตล็ด​ สโตร์​ แหลมฉบัง​ จำกัด,27​ ม.10 ต.ทุ่งสุขลา อ.ศรีราชา,SEMI WHOLESALE,13.08778,100.919407,"47,106.15",gap,-,ChIJ546RdKO5AjERAqd-zEj59jQ,7-Eleven สาขา ทะเลทอง (02368),256,0.02,"nearest pin 256m, sim 0.02"
RBA2005802,บริษัท​ เบ็ดเตล็ด​ สโตร์​ 8​ ปิ่นทอง​ จำกัด,492/185 หมู่ที่10 ต.หนองขาม อ.ศรีราชา,Minimart,13.12473667,101.0015933,"76,630.67",gap,-,ChIJ8bvaUubJAjERRrkgyXVMo4c,CJ MORE ซีเจ มอร์ สาขาเจ้าพระยาสุรศักดิ์,362,0.03,"nearest pin 362m, sim 0.03"
RBA2005817,บริษัท​ เดอะ​ เบเวอร์ลี​ โฮเทล คอร์ปอเรชั่น​ จำกัด,59/35  ม.10​ ถ.พระตำหนัก​ ต.หนองปรือ อ.บางละมุง,SUPERMARKET,12.946135,100.8913317,"55,699.20",covered,3_base_radius_200m,ChIJawhMIAC-AjERbJumlQjqjL8,7-Eleven,103,0.0,within base radius (200m) for tier Large
RBA2006025,ภาวินช็อป,94/7 หมู่2 ต.บางพระ อ.ศรีราชา,Minimart,13.21249,100.943287,"15,667.65",covered,3_base_radius_100m,ChIJU65q73i2AjER91_OgISIrPg,7-Eleven,99,0.0,within base radius (100m) for tier Medium
RBA2006026,ร้านซูเปอร์,70 หมู่2 ต.บางพระ อ.ศรีราชา,Minimart,13.218488,100.94111,"13,024.47",gap,-,ChIJT-5W8tK1AjERkV6FgUoHu58,Lotus's Go Fresh Market Bang Phra,426,0.0,"nearest pin 426m, sim 0.00"
RBA2006028,บริษัท เบสท์ แฟคตอรี่ เอาท์เล็ท จำกัด,629 หมู่11 ถนนสุขาภิบาล8 ต.หนองขาม อ.ศรีราชา,OTHERS (CREDIT),13.0818159,100.936024,"52,870.62",gap,-,ChIJo3dwGwC5AjEREqkVnBulsts,Lotus's go fresh แหลมฉบังใต้ 3729,383,0.02,"nearest pin 383m, sim 0.02"
RBA2006283,ศรีราชามาร์ทวังหิน,26/309 ม.1 ต.สุรศักดิ์ อ.ศรีราชา,Minimart,12.66391833,101.2430917,"38,552.16",gap,-,ChIJzyzVPmf7AjERimtpTjAqOX4,7-Eleven สาขา เลียบหาดแสงจันทร์ (19252),581,0.02,"nearest pin 581m, sim 0.02"
RBA2006324,ร้านสหกรณ์กองบัญชาการช่วยรบที่1 จำกัด,480 หมู่ 1 ต.เกาะจันทร์ อ.เกาะจันทร์,Minimart,13.001465,101.0762617,"7,555.27",gap,-,ChIJRfbjo5jDAjERNmAc86xpYvo,CJ MORE ซีเจ มอร์ สาขาโป่งสะเก็ด,877,0.0,"nearest pin 877m, sim 0.00"
RBA2006338,บริษัท ซีโน คอนดอม จำกัด (สำนักงานใหญ่),34/176 ม.2 ต.หนองปรือ อ.บางละมุง,B2B,12.70867833,101.170965,"534,087.72",gap,-,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,415,0.0,"nearest pin 415m, sim 0.00"
RBA2006340,โลมามินิมาร์ท,207/356 ม.11 ต.หนองขาม อ.ศรีราชา,Minimart,12.7087155,101.1710227,"20,157.62",gap,-,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,418,0.0,"nearest pin 418m, sim 0.00"
RBA2006343,บริษัท มีดี ศรีราชา จำกัด (สำนักงานใหญ่),"45,47,67/2-5 ถ.สุรศักดิ์1 ต.ศรีราชา อ.ศรีราชา",Minimart,13.16094833,100.9317167,"25,034.92",gap,-,ChIJEwdQ1AC3AjERj1gb_8D3MNk,7-Eleven,432,0.0,"nearest pin 432m, sim 0.00"
RBA2006347,บริษัท นิธิ ออล จำกัด (สำนักงานใหญ่),9 ถ.สุรศักดิ์1 ต.ศรีราชา อ.ศรีราชา,SUPERMARKET,13.16104667,100.93132,"1,972.80",gap,-,ChIJEwdQ1AC3AjERj1gb_8D3MNk,7-Eleven,436,0.0,"nearest pin 436m, sim 0.00"
RBA2006348,มิตรอารีย์ เทรดเดอร์,125/48 ม.3 ต.บ่อวิน อ.ศรีราชา,SUPERMARKET,12.70864667,101.17102,"38,407.86",gap,-,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,421,0.0,"nearest pin 421m, sim 0.00"
RBA2006350,พัทยา บิวตี้ (สำนักงานใหญ่),32/17-18 ม.10 ถ.พัทยาใต้ ต.หนองปรือ อ.บางละมุง,Minimart,12.90677833,100.89696,"227,279.76",covered,3_base_radius_100m,ChIJz2teONGVAjERMXkXR23JhFk,Jiffy,49,0.0,within base radius (100m) for tier Medium
RBA2006353,บริษัท สี่แยกเซนเตอร์ จำกัด,18/1 ม.8 ต.มาบโป่ง อ.พานทอง,SEMI WHOLESALE,13.00131833,101.07625,"32,144.76",gap,-,ChIJRfbjo5jDAjERNmAc86xpYvo,CJ MORE ซีเจ มอร์ สาขาโป่งสะเก็ด,885,0.05,"nearest pin 885m, sim 0.05"
RBA2006355,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,226/90 ม.4 ต.นาจอมเทียน อ.สัตหีบ,SEMI WHOLESALE,13.98980167,101.7177167,"22,224.12",gap,-,ChIJ_TgOkjfPHDERt1JhJNdvMU4,7-Eleven สาขา คลองตะเกรา-ท่าตะเกียบ (17817),61876,0.02,OUT OF SCRAPE AREA — nearest pin 61km away
RBA2006356,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,57/5 ม.6 ต.หนองปลาไหล อ.บางละมุง,SEMI WHOLESALE,12.965165,100.9188533,"56,758.44",gap,-,ChIJJ_FD6B-_AjERNN7tiq6c-ok,CJ More (Chaiyapruek),500,0.0,"nearest pin 500m, sim 0.00"
RBA2004690,บริษัทสรรพสินค้าชลบุรี จำกัด,117/21 หมู่ 15 ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ ,SEMI WHOLESALE,13.21326167,100.9437067,"27,964.44",covered,3_base_radius_200m,ChIJU65q73i2AjER91_OgISIrPg,7-Eleven,84,0.0,within base radius (200m) for tier Large
RBA2004692,ร้านแบล็ค แอนด์ บราวน์,115 ม.2 ต.บางพระ อ.ศรีราชา จ.ชลบุรี ,OTHERS (VAN),13.146438,100.9550416,"348,384.00",gap,-,ChIJvwWD9W63AjERGBOgwzvJsLQ,7-Eleven สาขา ตลาดโรงกระถาง (11253),55,0.0,"nearest pin 55m, sim 0.00"
