store_id,store_name,address,category,lat,lng,annual_sales_usd,matched,layer,scrape_id,scrape_name,distance_m,similarity,nearest_non_7eleven_id,nearest_non_7eleven_name,nearest_non_7eleven_dist_m,review_flag,note
RBA2000866,บริษัท ศิริโอสถ เมดมาร์ท จำกัด,7/4 ม.8 ตลาดเตาถ่าน ต.สัตหีบ อ.สัตหีบ,Minimart,12.762745,100.892149,"9,617.10",covered,3_base_100m,ChIJ10qqbPeNAjERwKe1Za6_x68,7-Eleven,79,0.0,ChIJgSlKIgCNAjERYKmuB_ZMj8k,Convenience store,24,auto_matched,"3_base_100m hit at 79m, sim 0.0"
RBA2000966,ร้านช.เจริญ,65-67 ต.พนัสนิคม อ.พนัสนิคม,Minimart,13.444847,101.181459,"6,893.92",covered,3_base_100m,ChIJxxECtusvHTERFHqh6v2DI28,7-Eleven สาขา พนัสนิคม (00496),40,0.0,ChIJMUMl_8YvHTERkFJ5IHwfPbY,CP Freshmart พนัสนิคม-ศรีกุญชร,215,auto_matched,"3_base_100m hit at 40m, sim 0.0"
RBA2000969,ร้านบ่อทองมาร์ท,155 หมู่1 ต.บ่อทอง อ.บ่อทอง,Minimart,13.282186,101.436949,"5,827.37",covered,3_base_100m,ChIJf8m04qosAzERgGpIsNL8nqQ,บ่อทอง มาร์ท Bo Thong Mart,28,0.35,ChIJf8m04qosAzERgGpIsNL8nqQ,บ่อทอง มาร์ท Bo Thong Mart,28,auto_matched,"3_base_100m hit at 28m, sim 0.35"
RBA2000972,ร้านชัยพรสรรพสินค้า,7/1-2 หมู่2 ต.บางเสร่ อ.สัตหีบ,Minimart,12.762709,100.892825,"5,171.22",covered,3_base_100m,ChIJ10qqbPeNAjERwKe1Za6_x68,7-Eleven,6,0.0,ChIJgSlKIgCNAjERYKmuB_ZMj8k,Convenience store,48,auto_matched,"3_base_100m hit at 6m, sim 0.0"
RBA2000976,ห้างหุ้นส่วนจำกัดไผ่สีทอง  มินิมาร์ท,4/32-33 ม.4 ต.ดอนหัวฬ่อ อ.เมืองชลบุรี,SUPERMARKET,13.374703,101.012072,"53,341.04",gap,-,,,,,ChIJw41qlXk1HTERXajZOilNwLU,ไทยฟู้ดส์ เฟรซ มาร์เก็ต สาขาตลาด SP,320,true_gap,nearest non-7-Eleven pin: 320m (ไทยฟู้ดส์ เฟรซ มาร์เก็ต สาขาตลาด SP)
RBA2004364,ร้านสหกรณ์ไทยออยล์ จำกัด,99/99 หมู่9 ต.บางพระ อ.ศรีราชา,Minimart,13.16093833,100.9311733,"8,835.56",gap,-,,,,,ChIJd1TOqVHIAjERNsYxm8TU1G8,Tops Robinson Sri Racha,775,true_gap,nearest non-7-Eleven pin: 775m (Tops Robinson Sri Racha)
RBA2004367,ร้านสหกรณ์ไทยออย์ จำกัด,42/1 หมู่2 ต.ทุ่งสุขลา อ.ศรีราชา,Minimart,13.109832,100.915683,"6,811.98",gap,-,,,,,ChIJn92w6Jq5AjER6rZfFBi5qwI,CJ MORE ซีเจ มอร์ สาขาแหลมฉบังทาวเวอร์,445,true_gap,nearest non-7-Eleven pin: 445m (CJ MORE ซีเจ มอร์ สาขาแหลมฉบังทาวเวอร์)
RBA2004550,ร้านโชคชัยสมบูรณ์ฟาร์มาซี,74/4 ม.4 ต.พานทอง อ.พานทอง,Minimart,13.472237,101.096182,"45,124.74",gap,-,,,,,ChIJTY9u6nIxHTERWYe609PaXdY,CJ MORE ซีเจ มอร์ สาขาตลาดนัดชัยมงคล,1130,true_gap,nearest non-7-Eleven pin: 1130m (CJ MORE ซีเจ มอร์ สาขาตลาดนัดชัยมงคล)
RBA2004636,ห้างหุ้นส่วนจำกัด เอ็น แอล ที เทรดดิ้ง 2554,17/36 ม.1 ต.หนองขาม อ.ศรีราชา,OTHERS (VAN),13.14931,100.94611,"35,443.49",gap,-,,,,,ChIJfUfjOFm3AjER-yEv3kbCthU,KTS Powder Coating,372,true_gap,nearest non-7-Eleven pin: 372m (KTS Powder Coating)
RBA2004639,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,2/39 ม.12 ต.นาป่า อ.เมืองชลบุรี,MOM AND POP LARGE,13.36397167,102.1926483,"44,906.52",gap,-,,,,,ChIJc0M-g0u3HDER--p5IjgzEww,T&W SHOP,52360,out_of_scrape_area,out of Chon Buri scrape area (nearest pin 52km)
RBA2004642,บริษัท รีเจ้นท์ พัทยา แคมปัส แมเนจเม้นท์ จำกัด,14/5 ม.3 ต.สุรศักดิ์ อ.ศรีราชา,MOM AND POP LARGE,13.3931307,101.2350859,"29,360.03",gap,-,,,,,ChIJszhAqH8vHTERgELJR6bqqZQ,CJ MORE ซีเจ มอร์ สาขาตลาดหมอนนาง,2850,true_gap,nearest non-7-Eleven pin: 2850m (CJ MORE ซีเจ มอร์ สาขาตลาดหมอนนาง)
RBA2004644,บริษัทฟาร์มสุกรพนัสโภคภัณฑ์ จำกัด,113 ม.3 ต.คลองกิ่ว อ.บ้านบึง,MOM AND POP LARGE,,,"168,733.44",no_coords,-,,,,,,,,needs_geocoding,needs geocoding
RBA2004651,ร้านนายดี งามเลิศ,85/28 ม.10 ต.หนองปรือ  อ.บางละมุง,OTHERS (VAN),13.393125,101.2350767,"589,585.02",gap,-,,,,,ChIJszhAqH8vHTERgELJR6bqqZQ,CJ MORE ซีเจ มอร์ สาขาตลาดหมอนนาง,2850,true_gap,nearest non-7-Eleven pin: 2850m (CJ MORE ซีเจ มอร์ สาขาตลาดหมอนนาง)
RBA2004655,บริษัทแฮปปี้ฮับ จำกัด(สาขา 1),88/88 ถนน บางคล้า-แปลงยาว ต.บางคล้า  อ.บางคล้า,OTHERS (VAN),13.374715,101.0120833,"22,965.89",gap,-,,,,,ChIJw41qlXk1HTERXajZOilNwLU,ไทยฟู้ดส์ เฟรซ มาร์เก็ต สาขาตลาด SP,322,true_gap,nearest non-7-Eleven pin: 322m (ไทยฟู้ดส์ เฟรซ มาร์เก็ต สาขาตลาด SP)
RBA2004657,เฮียสมบูรณ์,188/73 ม.2 ต.มาบข่า อ.นิคมพัฒนา,WHOLESALE,13.34507333,100.9848283,"5,007,598.98",covered,3_base_200m,ChIJpT2baAA1HTERxR3wXe1qoeQ,7-Eleven สาขา ถนนหนองข้างคอก-บ้านสวน (17977),40,0.0,ChIJs2Wa3ddLHTERhUDq_iotwTg,Mini Big C ตึกน้ำ,602,auto_matched,"3_base_200m hit at 40m, sim 0.0"
RBA2004659,ร้านโลมามินิมาร์ท,237-239-241-243-245 ถนน ชุมพล ต.หน้าเมือง  อ.เมืองฉะเชิงเทรา,MOM AND POP LARGE,13.33023833,101.08085,"5,259.70",gap,-,,,,,ChIJyUhVztczHTER9ohi8zreYe8,CJ MORE ซีเจ มอร์ สาขาบ้านโป่ง หนองซ้ำซาก,257,true_gap,nearest non-7-Eleven pin: 257m (CJ MORE ซีเจ มอร์ สาขาบ้านโป่ง หนองซ้ำซาก)
RBA2004660,ร้านตั้งจุ่งฮวด,217/1 หมู่.10 ซอย8 ถนน พัทยาสาย2 ต.หนองปรือ อ.บางละมุง,SUPERMARKET,13.39307333,101.23503,"9,688.32",gap,-,,,,,ChIJszhAqH8vHTERgELJR6bqqZQ,CJ MORE ซีเจ มอร์ สาขาตลาดหมอนนาง,2847,true_gap,nearest non-7-Eleven pin: 2847m (CJ MORE ซีเจ มอร์ สาขาตลาดหมอนนาง)
RBA2004662,ร้านบึงทองสโตร์,"517,519 ถนน ชลบุรี-บ้านบึง ต.บ้านบึง อ.บ้านบึง",SUPERMARKET,12.95641667,100.891055,"6,782.26",covered,3_base_200m,ChIJTy9c4ge-AjERHrE-NJFrGSE,7-Eleven,49,0.0,ChIJAWxg0P29AjERJcvyKLxrwWw,Best Supermarket,18,auto_matched,"3_base_200m hit at 49m, sim 0.0"
RBA2004663,กิจการร้านค้าสวัสดิการภายใน (กฝร.),2040 ม.1 ถ.สุขุมวิท ต.สัตหีบ อ.สัตหีบ,Minimart,12.658451,100.883264,"35,915.39",gap,-,,,,,ChIJUaEBYtuLAjERIQAAq6H_baE,Mini Big C,1878,REVIEW_navy_7eleven,"portfolio is a welfare/military commissary AND there is a 7-Eleven branch inside a navy/welfare shop only 228m away (7-Eleven สาขา ร้านค้าสวัสดิการภายในฐานทัพเรือสัตหีบ (02051)) — likely the SAME store, manual check needed"
RBA2004667,ร้านวิชิต,แผงตลาดสด ต.พนัสนิคม อ.พนัสนิคม,Minimart,13.443725,101.181386,"3,344.40",covered,3_base_100m,ChIJxxECtusvHTERFHqh6v2DI28,7-Eleven สาขา พนัสนิคม (00496),97,0.0,ChIJMUMl_8YvHTERkFJ5IHwfPbY,CP Freshmart พนัสนิคม-ศรีกุญชร,340,auto_matched,"3_base_100m hit at 97m, sim 0.0"
RBA2004669,ร้านกิจเจริญ,115 ต.พนัสนิคม อ.พนัสนิคม,SEMI WHOLESALE,13.448905,101.182183,"176,198.64",gap,-,,,,,ChIJMUMl_8YvHTERkFJ5IHwfPbY,CP Freshmart พนัสนิคม-ศรีกุญชร,246,true_gap,nearest non-7-Eleven pin: 246m (CP Freshmart พนัสนิคม-ศรีกุญชร)
RBA2004671,ร้าน มหาศักดิ์สวัสดิ์,252 หมู่1 ต.บ่อทอง อ.บ่อทอง,Minimart,13.282146,101.436785,278.64,covered,3_base_100m,ChIJf8m04qosAzERgGpIsNL8nqQ,บ่อทอง มาร์ท Bo Thong Mart,18,0.0,ChIJf8m04qosAzERgGpIsNL8nqQ,บ่อทอง มาร์ท Bo Thong Mart,18,auto_matched,"3_base_100m hit at 18m, sim 0.0"
RBA2004672,ร้านเฮงดี,179/78  ม.1 ต.ปะตง อ.สอยดาว,SUPERMARKET,12.67593667,101.214025,"29,985.81",covered,3_base_200m,ChIJybzOhOL7AjER22gG4p_7PW0,ทองมาเงินไป สาขาCJ.โรงพยาบาลกรุงเทพระยอง,11,0.0,ChIJybzOhOL7AjER22gG4p_7PW0,ทองมาเงินไป สาขาCJ.โรงพยาบาลกรุงเทพระยอง,11,auto_matched,"3_base_200m hit at 11m, sim 0.0"
RBA2004674,ร้านศศิวรรณ,333/40 หมู่ 7 ต.ทุ่งสุขลา อ.ศรีราชา,OTHERS (VAN),13.44486833,101.18007,"13,058.87",gap,-,,,,,ChIJMUMl_8YvHTERkFJ5IHwfPbY,CP Freshmart พนัสนิคม-ศรีกุญชร,263,true_gap,nearest non-7-Eleven pin: 263m (CP Freshmart พนัสนิคม-ศรีกุญชร)
RBA2004675,ร้านประกอบทรัพย์ 2,44 หมู่ที่ 3 ต.โคกปีบ อ.ศรีมโหสถ,MOM AND POP LARGE,14.05591167,101.3602033,"5,456.14",gap,-,,,,,ChIJwUtV6iQhHTERAUoHrCL2Bak,Mini Big C,53057,out_of_scrape_area,out of Chon Buri scrape area (nearest pin 53km)
RBA2004676,บริษัท สี่แยกเซ็นเตอร์ จำกัด,148/1 ม.1 ต.ห้างสูง อ.หนองใหญ่,SEMI WHOLESALE,13.261158,101.318005,"272,077.38",gap,-,,,,,ChIJNWN1UJrTAjERmfFL_QBuS0Y,Jiffy (จิฟฟี่) สาขาชลบุรี - บ้านบึง 4,9046,out_of_scrape_area,out of Chon Buri scrape area (nearest pin 8km)
RBA2004679,ร้านจริงใจพานิช,230 หมู่5 ต.ท่าบุญมี อ.เกาะจันทร์,Minimart,13.38711,101.286148,"174,192.00",covered,3_base_100m,ChIJj9nQoWQpHTER0dz-CW_b9wU,7-Eleven,77,0.0,ChIJR7zcMvspHTER6AC_3NVDjQ0,Mini Big C,176,auto_matched,"3_base_100m hit at 77m, sim 0.0"
RBA2004680,ร้านเล็ก,334 หมู่ 1 สวนอุตสาหกรรมศรีราชา ถนนสุขาภิบาล 8 ต.บึง อ.ศรีราชา,OTHERS (VAN),13.264185,100.934,"4,686.24",gap,-,,,,,ChIJd5fWCv20AjERWgTnrRXcWFk,Chamlong Shop,626,true_gap,nearest non-7-Eleven pin: 626m (Chamlong Shop)
RBA2004681,ร้านก.การค้า,40 หมู่ 1 ต.สัตหีบ,Minimart,12.6627399,100.8972704,"80,615.32",gap,-,,,,,ChIJUaEBYtuLAjERIQAAq6H_baE,Mini Big C,288,true_gap,nearest non-7-Eleven pin: 288m (Mini Big C)
RBA2004684,บริษัทที ที เอ็น เทรดดิ้ง จำกัด,218/7 ม.11 ต.ทุ่งสุขลา,SEMI WHOLESALE,13.37482333,101.0119967,"18,804.23",gap,-,,,,,ChIJw41qlXk1HTERXajZOilNwLU,ไทยฟู้ดส์ เฟรซ มาร์เก็ต สาขาตลาด SP,324,true_gap,nearest non-7-Eleven pin: 324m (ไทยฟู้ดส์ เฟรซ มาร์เก็ต สาขาตลาด SP)
RBA2004686,บจก.อนันต์เทรดดิ้ง(2025) สาขาสะพานสี่มาบยางพร,333/33 หมู่7 ต.บ่อวิน,Minimart,12.64168667,101.4940233,"52,778.61",gap,-,,,,,ChIJSSj8ZMQHAzERgGfJoIerUsM,CJ Supermarket,1323,true_gap,nearest non-7-Eleven pin: 1323m (CJ Supermarket)
RBA2004691,ร้านบุญศิริ,56 ต.หนองขาม อ.ศรีราชา,SEMI WHOLESALE,13.059582,100.994745,"290,709.12",gap,-,,,,,ChIJP8LekEDHAjERK9MoIE7V7gE,Lotus's Go Fresh nong khwae,1369,true_gap,nearest non-7-Eleven pin: 1369m (Lotus's Go Fresh nong khwae)
RBA2004695,บริษัท เฉลิมไทยดีพาร์ทเมนท์สโตร์ จำกัด สำนักงานใหญ,709 ถ.สุขุมวิท ต.มะขามหย่ง อ.เมืองชลบุรี,SEMI WHOLESALE,13.371085,100.990984,"322,994.91",gap,-,,,,,ChIJA4Fvqcg1HTERPD_Jv_BKW3Q,CJ MORE ซีเจ มอร์ สาขาตลาดใหม่ชลบุรี,507,true_gap,nearest non-7-Eleven pin: 507m (CJ MORE ซีเจ มอร์ สาขาตลาดใหม่ชลบุรี)
RBA2004722,บริษัทส.เปรมประเสริฐสุข จำกัด(สำนักงานใหญ),594/1-2 หมู่10 ถนนพัทยาใต้ ต.หนองปรือ อ.บางละมุง,Minimart,12.926742,100.875138,"26,271.91",gap,-,,,,,ChIJ-_7fBQCXAjERowacq_CPnis,Royal garden,496,true_gap,nearest non-7-Eleven pin: 496m (Royal garden)
RBA2004723,บริษัท เอกสโตร์แหลมฉบัง จำกัด,345/107หมู่ 10 ต.ทุ่งสุขลา อ.ศรีราชา,SEMI WHOLESALE,13.082202,100.936862,"39,206.52",gap,-,,,,,ChIJo3dwGwC5AjEREqkVnBulsts,Lotus's go fresh แหลมฉบังใต้ 3729,445,true_gap,nearest non-7-Eleven pin: 445m (Lotus's go fresh แหลมฉบังใต้ 3729)
RBA2005513,บริษัท ศรีธิคำ มาร์เกตติ้ง จำกัด,57/5 หมู่ 6 ต.หนองปลาไหล อ.บางละมุง,SEMI WHOLESALE,12.992057,100.932934,"276,078.72",gap,-,,,,,ChIJSWyhYBu_AjEROGhwRT3xdmQ,MR. D.I.Y. สาขาอรรถพร มาร์เก็ต บางละมุง ชลบุรี,998,true_gap,nearest non-7-Eleven pin: 998m (MR. D.I.Y. สาขาอรรถพร มาร์เก็ต บางละมุง ชลบุรี)
RBA2005521,ร้านสวัสดิการ สอ.รฝ.,ค่าย สอ.รฝ. ต.สัตหีบ อ.สัตหีบ,Minimart,12.638588,100.939572,"17,409.15",gap,-,,,,,ChIJmxvxaCuLAjERhk7UKt62XPQ,CJ MORE ซีเจ มอร์ สาขาสัตหีบ กม.5,3200,military_or_welfare_not_on_google,welfare/military commissary — usually not on Google Maps; nearest non-7-Eleven pin 3200m: CJ MORE ซีเจ มอร์ สาขาสัตหีบ กม.5
RBA2005535,บริษัท อนันต์ ซุปเปอร์สโตร์  จำกัด,256/501 หมู่3 ต.บ่อวิน อ.ศรีราชา,Minimart,13.008163,101.070853,"84,083.61",covered,3_base_100m,ChIJVYCL5PbBAjERNWFt5dwBJas,7-Eleven สาขา สุนิมิต (โป่งสะเก็ด) (05594),51,0.0,ChIJM4v2IQDBAjERibP1OBd28js,Reyoung,721,auto_matched,"3_base_100m hit at 51m, sim 0.0"
RBA2005635,ชัยสวัสดิ์พาณิชยกิจ,85/28 หมู่ 10 ต.หนองปรือ อ.บางละมุง,SEMI WHOLESALE,12.919951,100.918178,"127,665.84",gap,-,,,,,ChIJ3e8ML7-VAjERJDO3q1vbTGc,Lotus's Go Fresh,533,true_gap,nearest non-7-Eleven pin: 533m (Lotus's Go Fresh)
RBA2005649,ห้างหุ้นส่วนจำกัด เทพภูชิชย์,244/105 หมู่6 ต.หนองปรือ อ.บางละมุง,SEMI WHOLESALE,12.923264,100.925306,"37,229.52",gap,-,,,,,ChIJuw1YQgCVAjERU66_Rno15D0,Lotus Go Fresh,803,true_gap,nearest non-7-Eleven pin: 803m (Lotus Go Fresh)
RBA2005656,บริษัท พร้อมส่ง หนองใหญ่ จำกัด,42 ม.1 ต.หนองใหญ่ อ.หนองใหญ่,Minimart,13.156548,101.378697,"589,212.00",gap,-,,,,,ChIJwVxXMCspAzERuQtEimq5mCc,CJ MORE ซีเจ มอร์ สาขาหนองเสือช้าง,4283,true_gap,nearest non-7-Eleven pin: 4283m (CJ MORE ซีเจ มอร์ สาขาหนองเสือช้าง)
RBA2005665,บริษัท​  ศรีราชามงคลชัย​ จำกัด​,333/9 ม.6 ต.สุรศักดิ์ อ.ศรีราชา,WHOLESALE,13.362535,101.01528,"2,430.72",gap,-,,,,,ChIJl2mj_9k1HTERVxxzRErutv0,CJ MORE ซีเจ มอร์ สาขาบ้านสวน-เศรษฐกิจ 30,1199,true_gap,nearest non-7-Eleven pin: 1199m (CJ MORE ซีเจ มอร์ สาขาบ้านสวน-เศรษฐกิจ 30)
RBA2005788,ห้างหุ้นส่วน​จำกัด​ ทิชชู่​ชลบุรี​ สำนักงานใหญ่,54/8 ม.2 ต.บ้านสวน อ.เมืองชลบุรี,SEMI WHOLESALE,13.34512333,100.9848667,"111,978.43",covered,3_base_200m,ChIJpT2baAA1HTERxR3wXe1qoeQ,7-Eleven สาขา ถนนหนองข้างคอก-บ้านสวน (17977),39,0.08,ChIJs2Wa3ddLHTERhUDq_iotwTg,Mini Big C ตึกน้ำ,606,auto_matched,"3_base_200m hit at 39m, sim 0.08"
RBA2005789,บริษัท​ โสภณ​อีส​เทิร์น​เท​รดดิ้ง​ จำกัด,99/9 ​ม.6 ต.หนองปลาไหล อ.บางละมุง,Minimart,12.70861167,101.1710333,"42,115.04",gap,-,,,,,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,425,true_gap,nearest non-7-Eleven pin: 425m (Mini Big C Sukhumvit-Rayong 38)
RBA2005790,บริษัท​ เบสท์​ แฟคตอรี่​ เอาท์เล็ท​ จำกัด,629​ ม.11​ ถ.สุขาภิบาล​ 8 ต.หนองขาม อ.ศรีราชา,SUPERMARKET,12.708705,101.1709567,"18,271.98",gap,-,,,,,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,412,true_gap,nearest non-7-Eleven pin: 412m (Mini Big C Sukhumvit-Rayong 38)
RBA2005791,บริษัท​ สี่แยก​เซ็นเตอร์​  จำกัด,485  ถนนสุขุมวิท​ ต.แสนสุข อ.เมืองชลบุรี,SEMI WHOLESALE,13.264544,100.933924,"39,120.96",gap,-,,,,,ChIJd5fWCv20AjERWgTnrRXcWFk,Chamlong Shop,587,true_gap,nearest non-7-Eleven pin: 587m (Chamlong Shop)
RBA2005795,บริษัท​ ศรีธิคำ​ มาร์เก็ต​ติ้ง​ จำ​กัด​,142/5 ม.3 ต.บึง อ.ศรีราชา,SEMI WHOLESALE,13.081787,100.997113,"33,383.64",covered,3_base_200m,ChIJUwOTVJnHAjERAYhF7IbkxEY,7-Eleven,113,0.0,ChIJEzBZDZ_HAjER-KkZ5hce6xU,Express ตลาดวรกิจ,552,auto_matched,"3_base_200m hit at 113m, sim 0.0"
RBA2005801,บริษัทเบ็ดเตล็ด​ สโตร์​ แหลมฉบัง​ จำกัด,27​ ม.10 ต.ทุ่งสุขลา อ.ศรีราชา,SEMI WHOLESALE,13.08778,100.919407,"47,106.15",gap,-,,,,,ChIJUbAdZKe5AjERAaWhUqvCqvU,Makro Food Service Laem Chabang,811,true_gap,nearest non-7-Eleven pin: 811m (Makro Food Service Laem Chabang)
RBA2005802,บริษัท​ เบ็ดเตล็ด​ สโตร์​ 8​ ปิ่นทอง​ จำกัด,492/185 หมู่ที่10 ต.หนองขาม อ.ศรีราชา,Minimart,13.12473667,101.0015933,"76,630.67",gap,-,,,,,ChIJ8bvaUubJAjERRrkgyXVMo4c,CJ MORE ซีเจ มอร์ สาขาเจ้าพระยาสุรศักดิ์,362,true_gap,nearest non-7-Eleven pin: 362m (CJ MORE ซีเจ มอร์ สาขาเจ้าพระยาสุรศักดิ์)
RBA2005817,บริษัท​ เดอะ​ เบเวอร์ลี​ โฮเทล คอร์ปอเรชั่น​ จำกัด,59/35  ม.10​ ถ.พระตำหนัก​ ต.หนองปรือ อ.บางละมุง,SUPERMARKET,12.946135,100.8913317,"55,699.20",covered,3_base_200m,ChIJawhMIAC-AjERbJumlQjqjL8,7-Eleven,103,0.0,ChIJPYcK4_-9AjERIHI1O6v5wCg,Big C Supercenter Central Marina Outlet,58,auto_matched,"3_base_200m hit at 103m, sim 0.0"
