store_id,store_name,address,city,lat,lng,rating,review_count,phone,tier_class,reckitt_tier,reckitt_score
ChIJ7anA9QA1zDER5W97dizahUc,Shell,"Batu 7, Lebuhraya Cheras - Kajang, Taman Bukit Cheras",Kuala Lumpur,3.070765,101.749522,4.0,310,011-2121 7257,Fuel only,Drop,22.96
ChIJfZE3ieNRzDERgTBnSdR61_Y,Shell,"Persiaran Mokhtar Dahari Jalan Ungu B U9/B, Jalan Ungu B U9/27, Mukim, Bandar Bukit Raja",Shah Alam,3.127281,101.519458,4.2,235,03-7831 5433,Fuel only,Drop,22.95
ChIJ0eN578RMzDERS3zZSmvOIZE,7-Eleven Malaysia,"50, Jalan USJ 10/1e",Subang Jaya,3.0477183,101.5835859,4.6,143,03-2114 2209,7-Eleven,Drop,22.86
ChIJi2LlzmixzTERTaKoSoGzQn4,Petronas Bandar Saujana Putra,"Lot 26103, Jalan SP 4/31, Bandar Saujana Putra",Sungai Jarum,2.9446888,101.5877941,3.8,395,03-5162 1667,Fuel only,Drop,22.73
ChIJeSwTVklRzDERHV56Jg8oA3Y,BHPetrol Jalan Meru 2,"Lot 51000, Batu 6, Jalan Meru, Pekan Meru",Klang,3.1301194,101.4396894,4.1,252,03-3392 7932,Fuel only,Drop,22.69
ChIJXT1fgq9HzDERQsqFmzv-ZMk,Shell,"Jalan Sri Batu Caves 2, Lot 10240 13 Km, Jalan Sri",Batu Caves,3.235019,101.689396,3.7,449,03-6178 1934,Fuel only,Drop,22.6
ChIJJY_xycZTzDERMLs6Ypa62_o,Shell Setia Alam,"Persiaran Setia Prima, Lot Pt 12157, Bandar, Setia Alam",Shah Alam,3.098396,101.462544,3.8,332,03-3345 3811,Fuel only,Drop,22.07
ChIJ1fvQOZzGzTERPsL1ILJLwsY,Shell,Persiaran Pusat Bandar 6339 Hsd 78213a,Nilai,2.822834,101.794465,4.1,214,06-799 7754,Fuel only,Drop,22.02
ChIJTfgqRdTLzTERJkcIPQl-x50,Shell,Persiaran Kemajuan,Bandar Baru Bangi,2.957635,101.755989,4.1,211,03-8926 2230,Fuel only,Drop,21.96
ChIJRdZ_lW_JzTERXGu7iZ3Sd44,Shell,"Jalan 6c-8 6c-8 Jalan 6c/2, Lot 2, Jln 6 C/1, Bdr",Bandar Baru Bangi,2.943298,101.76536,4.0,236,03-8926 3112,Fuel only,Drop,21.87
ChIJZV6uglDJzTER-zbYF8ApQpU,Shell,"MUKIM, Bandar Kajang",Kajang,2.947367,101.787062,4.1,180,019-390 9141,Fuel only,Drop,21.31
ChIJx_sCCBpPzDER6HMrz6x5XjE,SHELL NTI DO Kota Damansara,Jalan Kenyalang 11-14 11-14 Pekan Baru Sg Buloh,Petaling Jaya,3.162718,101.586634,4.1,180,03-6151 9855,Fuel only,Drop,21.31
ChIJ8yNapfBrzDERCRKAJDtRfIo,CAFé by 7-Eleven Antara Gapi (2082),"No. 1 (GF, 3, Jalan Gapi 1a, Antara Gapi",Serendah,3.4231142,101.6277352,4.1,180,,7-Eleven,Drop,21.31
ChIJxVWLm3NKzDERrpXjDaejyac,Shell,"Lebuhraya Sungai Besi, Km 13.8",Kuala Lumpur,3.089676,101.70014,4.0,202,012-207 7731,Fuel only,Drop,21.25
ChIJYzfA9OBLzDER8l0dDta4pr0,myNEWS PJ 33 (G Floor),"33, NO, KHOO KAY, UNIT PG-05B, PJ, 3, Jalan Professor Khoo Kay Kim, Seksyen 13",Petaling Jaya,3.1104791,101.6370921,3.7,305,03-7931 2433,MyNEWS,Drop,21.18
ChIJNU8bOUNFzDERyD-2mHrJrXw,CAFé by 7-Eleven Seksyen U19 Shah Alam (2173),"1-23, Jalan U19/A, Taman Seri Buloh",Sungai Buloh,3.2032804,101.5435502,3.9,218,,7-Eleven,Drop,21.02
ChIJp2ca6QC0zTERGy39Ey5cJb8,Shell,"Jalan Puchong, Mukim Dengkil",Puchong,2.959449,101.617637,3.9,207,03-8052 3889,Fuel only,Drop,20.82
ChIJzW-ghn5HzDERWHwQlMEFBkM,Shell,"Park, Jalan 10, Jalan Batu Caves, Greenwood",Batu Caves,3.234704,101.703761,3.9,205,03-6189 5182,Fuel only,Drop,20.78
ChIJxRwa5f2tzTERY_0tl143eh8,FamilyMart KSL Avenue,"No. 1, No. 1, Ground Floor, KSL Avenue Bandar Diraja Selangor MY, Jalan Bestari 9/KS09, Bandar Bestari",Klang,2.9599167,101.4664476,3.6,313,,FamilyMart,Drop,20.7
ChIJl7YnbVg2zDERobv_XNJeESM,"Caltex Taman Cempaka, Ampang","Lot 1860, Jalan Cempaka 8, Taman Cempaka",Ampang,3.1395526,101.7515303,4.0,173,03-9226 7550,Fuel only,Drop,20.64
ChIJA3w9sX-rzTERdlsCTp-hWTU,Shell,"34c, Jalan Batu Nilam 34",Klang,2.998819,101.431866,3.7,261,03-3325 8613,Fuel only,Drop,20.6
ChIJW9osbqdPzDERZZZbXkVLhHs,Shell,"1, Persiaran Sungai Buloh",Petaling Jaya,3.16583,101.569512,4.1,134,03-6141 6769,Fuel only,Drop,20.11
ChIJHXZxK_1OzDERa9LN7LMxZO4,Shell,"Persiaran Surian, Pju 5 Kota Damansara",Petaling Jaya,3.150581,101.58162,4.0,150,03-6156 9255,Fuel only,Drop,20.07
ChIJIaXqphI4zDERv01BJ8JoKSM,Shell,"Jalan Taman Ibu Kota 4 Jalan 1a/6, Tmn, Taman Setapak Indah",Kuala Lumpur,3.209512,101.718648,4.2,116,03-4023 2855,Fuel only,Drop,20.0
ChIJt_qFFdTmzTERRilBbTLKeNU,Petronas Seremban Jaya,"Jalan Seremban Jaya, Taman Seremban Jaya",Seremban,2.6751951,101.9761833,3.8,191,,Fuel only,Drop,19.98
ChIJ5TtBXQZPzDERJyF3Cepg81I,Shell,Jalan Cecawi 6/18a,Petaling Jaya,3.160955,101.57441,3.9,167,03-6140 1548,Fuel only,Drop,19.98
ChIJBRvkUADPzTERQa6gP6fXvr0,Shell Eco Majestic,"Jalan Eco Majestic 3A-2 Hsd 172881, Pt 15490",Beranang,2.907861,101.850678,4.3,103,017-991 1230,Fuel only,Drop,19.97
ChIJjZDbEY9azDERB2kd7mj8wyY,Shell,"Persiaran E1-1, Jalan Bidara 6/1, Daerah Kuala Selangor",Sungai Buloh,3.204632,101.487186,4.0,142,03-6038 1697,Fuel only,Drop,19.85
ChIJG0CvraJOzDERDOuDySNHGcw,Shell,"AH2 Km 15.8, L/Raya Utara Selatan",Petaling Jaya,3.123017,101.593595,3.7,212,03-7880 1889,Fuel only,Drop,19.84
ChIJ-fVBJ6M1zDERIEDF61b9Rik,Shell Taman Connaught,"Jalan Cerdas, Lot 18113, L/raya Timur Barat",Kuala Lumpur,3.081361999999999,101.73272,3.8,183,019-337 4075,Fuel only,Drop,19.82
ChIJZcWaFb24zTER9x7BoaH7lKc,Shell,"29 29, Maju, Laluan Persekutuan, 1, Persiaran Warisan",Sepang,2.816735,101.69425,3.7,206,03-8706 8388,Fuel only,Drop,19.73
ChIJ1fvQOZzGzTERJfgrhs0lNCU,Shell,"Persiaran Pusat Bandar Jalan, Lot 6331, Mukim, Nilai Square Commercial Centre",Nilai,2.824098,101.794681,3.8,175,06-799 5308,Fuel only,Drop,19.65
ChIJ9YXsrHujzTERbok4ivHlFWk,Shell,"Jalan Sultan Alam Shah, Mukim of Kelanang",Banting,2.793505000000001,101.486953,4.2,105,03-3184 0762,Fuel only,Drop,19.59
ChIJnUndtaBKzDERn1qvt-Uh-jA,Shell,"Kuala Lumpur-Seremban Expy E37, Lebuhraya Utara-Selatan, seremban",Kuala Lumpur,3.049392999999999,101.7057977,3.8,172,03-8942 8899,Fuel only,Drop,19.58
ChIJdbFyfU2xzTERRfylY1KCeYo,7 Eleven2229,"68-74, Lingkaran Putra Perdana, Taman Putra Perdana",Puchong,2.9460507,101.6134997,3.9,150,03-2142 1136,7-Eleven,Drop,19.57
ChIJO3glWpn0zDERo3DI6Bk_uzo,Shell,Jalan Seri Temenggong 3,Kuala Selangor,3.329624,101.258908,4.1,110,019-980 8931,Fuel only,Drop,19.31
ChIJRecRpuTPzTERtjcNAVut30I,FamilyMart Eco Majestic,"No. 43, Eco Majestic, 1, Jalan Eco Majestic 10/1A",Semenyih,2.9012783,101.8348185,3.7,183,,FamilyMart,Drop,19.3
ChIJ1zxgsuWszTERPkSCoU6LX_Y,7-Eleven,"86, Jalan Dato Yusuf Shahbudin 30, Taman Sentosa",Klang,3.010361,101.4684717,4.0,123,018-221 5305,7-Eleven,Drop,19.28
ChIJWekSMsFKzDERs4Ki1qO33U0,Shell,"Lebuhraya Bukit Jalil, Bandar Kinrara 2",Kuala Lumpur,3.048642,101.680451,3.8,157,03-8996 6736,Fuel only,Drop,19.24
ChIJK4j-z9ZLzDERTlus2Muh3a4,Shell,"Lot 1, Jalan Gasing",Petaling Jaya,3.108368,101.653519,4.0,121,03-7932 2314,Fuel only,Drop,19.22
ChIJibMJiA9LzDERSd-Pmb80-KY,Shell Taman Kinrara,"Jalan Puchong, Lot 2068, Jalan Puchong Batu 7 1/2",Puchong,3.065382,101.649785,3.8,155,03-8076 7682,Fuel only,Drop,19.19
ChIJjWQEgVeszTERa5J53dLcGyY,Shell,"PT 80564, Persiaran Puteri",Pelabuhan Klang,2.994387,101.468168,3.6,202,03-5167 2233,Fuel only,Drop,19.13
ChIJHY7CpG6zzTERWK9G-YEdSFs,Shell,"16, Jalan Puchong Permai 2, Taman Puchong Permai",Puchong,3.00922,101.599259,3.8,146,03-8061 2991,Fuel only,Drop,18.96
ChIJGSvfb6dPzDERqdg7a215CS8,Shell,"Persiaran Jati, Pusat Bandar Sungai Buloh",Petaling Jaya,3.173383,101.57595,3.8,146,03-6150 2800,Fuel only,Drop,18.96
ChIJFcKKndRGzDERlxF2iOOlIbo,Shell,"Jalan Rawang Bt 16, Jln, Templer Park",Rawang,3.290064,101.633539,3.6,188,03-6091 2619,Fuel only,Drop,18.87
ChIJL6WJ7ldGzDERdPKGlP9-ePI,Shell,Jalan Lingkaran Tengah 2,Kuala Lumpur,3.229754,101.650854,3.7,160,03-6137 8255,Fuel only,Drop,18.8
ChIJq6pqMM_KzTERNxk2IyAo0a0,Shell,"Lot 19086, Jalan Taming Jaya, Taman Taming Jaya",Balakong,3.024986,101.736079,3.7,159,03-8961 3320,Fuel only,Drop,18.78
ChIJAXA61BjWzTERTAYBCPbd23E,Shell,Jalan Seremban,Kuala Klawang,2.934521799999999,102.0662554,4.3,76,06-613 7387,Fuel only,Drop,18.68
ChIJ1w9eoC5LzDERfHHz-yNxwDw,Caltex Ara Damansara,"35, Jalan PJU 1A/42A, Ara Damansara",Petaling Jaya,3.1174741,101.5879831,4.3,76,,Fuel only,Drop,18.68
ChIJJYRqqiRKzDER3029VM8maA4,Shell,"Jalan Klang Lama, 175-1, BT 3 3/4",Kuala Lumpur,3.102162,101.676947,4.0,105,03-7980 0837,Fuel only,Drop,18.65
ChIJT3j3mmTOzTERRsxvWyh23lY,Shell,Jalan Semenyih Beranang,Kajang,2.94209,101.850124,4.1,90,03-8723 4859,Fuel only,Drop,18.49
ChIJM0QI56g0zDERCWaZ8bsjt10,FamilyMart Sungai Long,"16, Jalan SL 1/2, Bandar Sungai Long",Kajang,3.040202700000001,101.7937601,3.9,112,,FamilyMart,Drop,18.44
ChIJvYm9L5RJzDERC6ce6qTqmH4,Shell,"12, Jalan Bangsar",Kuala Lumpur,3.129430600000001,101.6801852,3.8,127,03-2201 5335,Fuel only,Drop,18.44
ChIJPxoi38PBzTERsJqUfWQYnRU,Shell Pekan Salak,"LOT PT 6167, PEKAN SALAK",Sepang,2.797635,101.748143,4.4,65,014-666 1452,Fuel only,Drop,18.43
ChIJ65igqJZSzDERfOw10bFghZc,Shell,Jalan Relau 16/1,Shah Alam,3.0592408,101.5091795,3.8,125,03-5519 2471,Fuel only,Drop,18.38
ChIJLad2QhhKzDERCqS9VhYVT6w,Shell,"Lama, Jalan 2-109e, 2-109e, Old Klang Road, Taman Desa",Kuala Lumpur,3.100705,101.686131,3.6,163,03-7984 7005,Fuel only,Drop,18.36
ChIJgY2ozoivzTERNWEg3WHYnpg,Shell,"5052, Jalan Klang Banting",Jenjarom,2.883436999999999,101.492451,3.9,107,03-3191 7718,Fuel only,Drop,18.26
ChIJVRETuyetzTERKT4oo1pmn1A,Shell,"Jalan Kebun, Batu 3 1/2, Jalan 1, Kampung Jawa",Klang,3.024471999999999,101.481322,3.9,106,012-681 7372,Fuel only,Drop,18.22
ChIJiVcCPQvdzTERSzzogqPjmLU,Shell Jalan Labu,"No.Geran 251795, No. Lot, Jalan Labu",Seremban,2.724861,101.904488,4.3,68,06-762 0175,Fuel only,Drop,18.21
ChIJ9-a9HZzMzTER0cYDm46wcvI,Shell,Pintasan Kajang - Semenyih By Pass Lot No Pt 52586 Hsd 106128 Mukim Of,Kajang,3.007724,101.802705,4.1,83,03-8733 0608,Fuel only,Drop,18.17
ChIJFwOtSPxLzDERvvTSkWHfaBU,Shell,"10, Jalan 21/1, Sea Park",Petaling Jaya,3.109909,101.623192,3.6,154,03-7497 9098,Fuel only,Drop,18.16
ChIJLW6Iz6I0zDERUxU7_JimN1w,Shell,Persiaran Mahkota Cheras 2 2 Bdr,Cheras,3.050408,101.787029,3.9,104,03-9019 9450,Fuel only,Drop,18.15
ChIJ8421ay7MzTER7T5qm746eJc,Shell,Jln Kajang Semenyih,Kajang,2.962031,101.836816,3.6,153,03-8723 8041,Fuel only,Drop,18.13
ChIJJZYpvVJCzDERoqqnuB-H500,Shell,"Jalan Rawang, Jln Ipoh, Perumahan Pkns Batu 17 Rawang",Rawang,3.3116213,101.5809119,3.7,133,03-6092 8069,Fuel only,Drop,18.12
ChIJfV0C7CRrzDER-Meie1YtjL0,Shell Antara Gapi,"1, Mukim, Kampung Pasir Ulu Yam",Serendah,3.418616,101.625758,4.1,82,013-250 6512,Fuel only,Drop,18.12
ChIJkZRQQ0ldzDERmUy06ki5aEc,7-Eleven Saujana Rawang,Saujana Rawang,Rawang,3.3348894,101.5181502,4.0,89,,7-Eleven,Drop,18.0
ChIJD-iUDUldzDERbUNqAT6PJ2E,7-Eleven,"2, Jalan SR 4/1D, Saujana Rawang",Rawang,3.334105,101.5174412,4.0,89,,7-Eleven,Drop,18.0
ChIJVSk4W-SszTERFylLnKMngMw,Shell,"Lot Pt, Jalan Sungai Jati",Klang,3.012537,101.462828,3.8,112,03-3372 4523,Fuel only,Drop,17.96
ChIJn9I8X9JCzDERZlt18IALEfI,Shell,"Jln Rawang - Bestari Jaya, Jalan Sungai Bakau",Rawang,3.31967,101.52782,3.9,99,03-6093 2262,Fuel only,Drop,17.96
ChIJQ3NCo7VVzDER4oIuYW4ivcA,Shell,"Jalan Kapar 3 Lot 3 Jalan Kapar, Kelang",Kapar,3.094416,101.385114,3.8,111,03-3291 9555,Fuel only,Drop,17.93
ChIJadXqAufJzTERfAXZa-Qehcs,7 Eleven2019,"21, Jalan P15 H 3/1, Presint 15",Putrajaya,2.9375761,101.7148724,4.0,86,,7-Eleven,Drop,17.86
ChIJM5zWkQCzzTERJPwcs2WuJEA,7 Eleven,"11, Jalan Putra Mahkota 7/6c, Putra Heights",Subang Jaya,2.9963398,101.5738808,4.1,77,,7-Eleven,Drop,17.86
ChIJffimfANMzDERn5B3lIefoKI,Shell,"Shell, Jalan SS 17/1A, 4, JLN SS 48/10, Kelana Jaya",Subang Jaya,3.108533,101.606559,4.1,77,019-326 2827,Fuel only,Drop,17.86
ChIJ6VsjPSzNzTERcQu6KJ_gnyU,7 Eleven Kajang Perdana,"Jalan Kajang Perdana, Taman Kajang Perdana",Kajang,2.993448600000001,101.8164472,4.0,85,,7-Eleven,Drop,17.82
ChIJLSyWjGdCzDERHQogKcGLrq4,Shell,"1 65 3rd Ml, Laluan Persekutuan 1, Jalan Gombak",Rawang,3.330412,101.579943,4.0,83,03-6093 1222,Fuel only,Drop,17.72
ChIJj5kWJzmzzTER292NYxMgvn4,Shell,"Jalan Subang 10, 10, Jalan Klang",Puchong,3.0209509,101.5948587,3.5,155,019-320 7070,Fuel only,Drop,17.67
ChIJWXsgmPDLzTERudv6x1dZ2Bg,Shell,"Jalan Reko, Jalan Bandar Baru Bangi",Bandar Baru Bangi,2.964385,101.790739,4.2,66,03-8733 6858,Fuel only,Drop,17.66
ChIJCWCpywirzTERtAmsEW6G_p4,7-Eleven jalan batu nilam 34 ( 1021 ),"Lorong Batu Nilam 34, Bandar Bukit Tinggi 2",Klang,2.9987788,101.4304517,4.1,73,03-2114 3021,7-Eleven,Drop,17.65
ChIJ7ZzXzmXMzTERg4YJHikYwdc,Shell,"Jalan Semenyih, Jalan Kajang",Kajang,2.985235,101.813888,3.9,90,03-8734 7088,Fuel only,Drop,17.59
ChIJYb9w2olezDERw-SvGK6lSbE,Shell,"Jalan Kuala Salangor Jln IP 1, Laluan 54, Lot 420, Jalan Permai 1",Kuala Selangor,3.312047,101.418985,3.8,101,010-566 8119,Fuel only,Drop,17.57
ChIJffv4ugZTzDERtQyT_e2esYA,Shell,"Lebuhraya Baru Lembah Klang, Lebuhraya Baru Lembah",Klang,3.070852,101.472557,3.9,87,010-552 4860,Fuel only,Drop,17.46
ChIJ49wL-rKyzTERIN3ERUneBC4,Shell,"25-5, 25-58, Jalan Abadi 25/58, Taman Sri Muda",Shah Alam,3.033233999999999,101.538335,3.8,96,03-5122 1243,Fuel only,Drop,17.38
ChIJq6pq2io2zDERq10PgF7O9cc,FamilyMart Wisma Lim Foo Yong,"Lot G-01, Ground Floor, Wisma Lim Foo Yong, 86, Jalan Raja Chulan",Wilayah Persekutuan,3.150554,101.7089908,3.4,164,,FamilyMart,Drop,17.36
ChIJje5wfGTnzTERg9GqOMsYTaw,Shell Seremban Jaya,"Jalan Seremban Jaya, Pt2443, Pekan",Seremban,2.675135,101.975245,4.2,61,06-675 0277,Fuel only,Drop,17.33
ChIJEXjE5XlTzDER7hkJNyUcsx4,Shell,"Lengkok Sentosa 41, 41, Lengkok Sentosa 45, Kampung Batu Belah",Klang,3.071396,101.444887,3.9,84,013-580 6022,Fuel only,Drop,17.33
ChIJo5WZn5_0zDERZ0ACAXfmr0I,Petronas Kuala Selangor,Taman Pahlawan,Kuala Selangor,3.332888800000001,101.2553728,4.1,64,03-3281 2475,Fuel only,Drop,17.11
ChIJC3du5PfqzTERYDcfmQgPAnc,Shell,Jalan Besar 15,Sepang,2.691474,101.751855,3.8,89,03-3142 1279,Fuel only,Drop,17.1
ChIJU3j7QgfLzTERLzQaCBYzAl0,7-Eleven Jadehills 2067 Franchise,Jade Hills,Seri Kembangan,2.9943644,101.759304,4.3,52,,7-Eleven,Drop,17.07
ChIJVQPhIF9SzDERuGbwmA4_i_s,Shell,"Lot 1756, Jalan Plumbum Z 7/Z, Seksyen 7",Shah Alam,3.066281999999999,101.490889,3.8,87,012-277 0557,Fuel only,Drop,17.01
ChIJzcIjzP_CzTERK7sCsGnDCxc,Shell,Plus Highway North Bound,Lebuhraya Utara-Selatan,2.757292000000001,101.845526,4.0,66,06-791 1109,Fuel only,Drop,16.82
ChIJ5cKRv37dzTERDNnv_ehlmlI,Shell,"Lot 6654 Hsm 888, Seremban - Bukit Nenas Highway, Jalan Sungai Ujong",Seremban,2.722561,101.924351,3.8,82,06-767 0834,Fuel only,Drop,16.79
ChIJ0ZAJAw-rzTERmOIzWrs35eg,Shell,"Persiaran Raja Muda Musa Lot 772/777 Sec, 2, Jalan Watson",Pelabuhan Klang,3.004274,101.402441,4.0,64,03-3168 7936,Fuel only,Drop,16.7
ChIJU8oQ51VGzDERyApJfPbVHhw,Shell,Jalan Lingkaran Tengah 2,Kuala Lumpur,3.229435999999999,101.655885,3.8,80,03-6259 1901,Fuel only,Drop,16.7
ChIJQRU_o39UzDERKDl_7vGZOWo,Shell,"Jalan Haji Sirat, Lot 17534, Mkm Kapar",Klang,3.0773574,101.4323257,3.8,79,03-3343 1198,Fuel only,Drop,16.65
ChIJyYEuOTUFzDERrB3yWNgIHvE,Shell,"KT 26, Jalan Kuala Lumpur, Jalan Ketari",Bentong,3.505262000000001,101.91348,3.6,98,09-222 5055,Fuel only,Drop,16.54
ChIJqR2G5O1GzDERdauzGK3G7Ok,Shell,Jalan Bidara 1 Tmn Bidara Selayang,Batu Caves,3.241266,101.644096,4.1,54,03-6136 4645,Fuel only,Drop,16.43
ChIJM4amPhw2zDERW6L8NNvrvb8,Shell,"176, Jalan Sungai Besi",Kuala Lumpur,3.125769,101.710804,3.6,91,03-9221 3145,Fuel only,Drop,16.28
ChIJ2Tn8-kJWzDER_d-STp23UPM,Shell,"Lot 47, 52, Jalan Besar",Kapar,3.1372885,101.3748653,4.0,55,03-3250 8039,Fuel only,Drop,16.1
ChIJOwrf5s2zzTERpNn0FYSi56A,Shell Kota Kemuning 2,"3A, Persiaran Anggerik Eria",Shah Alam,2.990693,101.531588,4.3,41,012-277 0557,Fuel only,Drop,16.07
ChIJ_7VDYYlIzDER8IsZDlHu2o4,Shell,Lebuhraya Utara - Selatan Plus Highway Jln Duta Kl Bound,Kuala Lumpur,3.176986,101.657637,3.6,84,03-6259 1411,Fuel only,Drop,15.99
ChIJ27k4Y9XmzTERjLs4OLu0PqU,Shell,"5, BT, Jalan Tampin",Seremban,2.678365,101.978591,3.9,59,06-677 1877,Fuel only,Drop,15.97
ChIJg4pF1qHdzTER6zrXROzMsa4,Shell,Jalan Temiang,Seremban,2.737356,101.938143,4.3,40,06-763 5224,Fuel only,Drop,15.97
ChIJGc7ncqn0zDERVh0zes1Jyyo,7 Eleven store 1831 Pasir Penambang Kuala Selangor,"No. 23 & 23A, 1st Floor, Wharf 72, Jalan Peninsula, Peninsula Park, Pasir Penambang",Kuala Selangor,3.3478577,101.255777,4.1,47,,7-Eleven,Drop,15.87
ChIJZ2ggeeW1zTER8-aL_8iXpXc,Shell LDP Puchong South,"LDP, Pt 82150, Km31.5",Puchong,2.980433,101.6471946,3.9,57,03-8957 9922,Fuel only,Drop,15.84
ChIJCYNNL19NzDEReXzkYNhv-04,Shell,"1, Jalan Nelayan 19/C, Seksyen 19",Shah Alam,3.050751,101.53498,3.7,71,03-5878 2039,Fuel only,Drop,15.82
ChIJ4axIukBJzDERj1TDS-Nh9pY,Shell,"17-22, Happy Garden, Jalan 17/22",Petaling Jaya,3.124575,101.636343,3.3,118,03-7956 1231,Fuel only,Drop,15.77
ChIJjdYdJ5tUzDEREpDqXHExQZw,Shell,"230, Lebuhraya Selat Klang",Klang,3.065109,101.4254892,4.0,50,03-3341 2146,Fuel only,Drop,15.73
ChIJuR8e_aRLzDERCHfRVZPp5Ks,Shell,"Taman Petaling Utama, Lebuhraya Baru Pantai, Jalan Klang Lama",Petaling Jaya,3.0812702,101.6469942,3.8,61,03-7782 8235,Fuel only,Drop,15.68
ChIJ6RvxyGXMzTERDkMqJU8mZAU,Shell,"Jalan Semenyih, 1, Batu 16 1-2",Kajang,2.9911088,101.7969238,3.8,60,03-8736 1262,Fuel only,Drop,15.62
ChIJHS3BU5nMzTERjAy-ds9esJo,Shell,Pintasan Kajang - Semenyih By Pass,Kajang,3.007785,101.803941,3.6,74,03-8736 0130,Fuel only,Drop,15.54
ChIJryC0loFOzDERPd9_k36SHYE,myNEWS Oasis Village (G Floor),"LOUNGE 2, GROUND FLOOR, Oasis Village, Ara Damansara, Oasis Square, 2, Jalan PJU 1A/7, Oasis Ara Damansara",Petaling Jaya,3.1148184,101.574914,4.3,36,03-7734 4372,MyNEWS,Drop,15.53
ChIJoSahwGiXzTERRdEjkMiYwcE,Shell,"5, 5 Lot 2921, Kampung Kundang",Tanjong Sepat,2.666983,101.537713,3.7,65,03-3148 2059,Fuel only,Drop,15.5
ChIJocEwpyrnzTERhGKW64x62Ps,SHELL JALAN TAMPIN SEREMBAN,"Shell, Jalan Tampin, Bandar Seremban Selatan",Seremban,2.6786497,101.9796601,3.8,58,06-679 3640,Fuel only,Drop,15.49
ChIJkeSUJnC0zTERGyD-xzVw4dA,Shell,"Shell, Km 30, Lebuhraya Damansara - Puchong, Puchong Selatan",Puchong,2.98251,101.635776,4.0,47,03-8060 3966,Fuel only,Drop,15.48
ChIJVc2GyYzdzTERPZ08w2KFRdg,Shell,"Jalan Ampangan Lot, 3164, Jalan Dato Muda Linggi",Seremban,2.723972,101.957701,3.9,51,06-767 5186,Fuel only,Drop,15.41
ChIJcxW858u7zTERShurQGDwiY8,Shell,"Jalan Klang Banting, Mukim",Banting,2.834786,101.597649,4.0,46,03-3149 1236,Fuel only,Drop,15.4
ChIJ60V3wONHzDERLUDzEPsY2ow,Shell,"Jalan Sentul Lot 22521, Mukim",Kuala Lumpur,3.1945232,101.6911456,4.0,46,03-4042 6408,Fuel only,Drop,15.4
