store_id,place_id,store_name,banner,format,reckitt_target,exclusion_reason,address,city,region,lat,lng,category,rating,review_count,phone,opening_hours,website,google_types,vicinity,price_level,business_status,annual_sales_usd,lines_per_store,covered,source,poi_count,actual_location,matches_selected_region,geographic_note
ChIJAQJFP1UPAzERbxeiHdOyb5c,ChIJAQJFP1UPAzERbxeiHdOyb5c,นวมลเภสัช แหลมแม่พิมพ์ - NAVAMOL PHARMACY at MaePhim Beach,เภสัช (Independent),Pharmacy (independent),TARGET,,"Larm mae pim beach, Tambon Kram",Amphoe Klaeng,Chon Buri,12.6516694,101.6118583,pharmacy,4.9,9,084 259 4694,Monday: 9:00 AM – 7:00 PM | Tuesday: 9:00 AM – 7:00 PM | Wednesday: 9:00 AM – 7:00 PM | Thursday: 9:00 AM – 7:00 PM | Friday: 9:00 AM – 7:00 PM | Saturday: 9:00 AM – 7:30 PM | Sunday: 9:00 AM – 7:30 PM,https://lin.ee/vh0vhFl,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","Larm mae pim beach, Tambon Kram, Amphoe Klaeng",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJO6iuo0rzAjERRE1Bpwb5l2s,ChIJO6iuo0rzAjERRE1Bpwb5l2s,Thanakom Phesat,Independent (no name keyword),Pharmacy (independent),TARGET,,"25, 41 Sukhumvit Road, Tambon Phlu Ta Luang",Amphoe Sattahip,Chon Buri,12.6894251,100.9773,pharmacy,0,0,038 245 179,,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","25, 41 Sukhumvit Road, Tambon Phlu Ta Luang, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJOb5lj7PzAjERe0yxZm-z9Gw,ChIJOb5lj7PzAjERe0yxZm-z9Gw,ร้านยา บ้านยาดี สระแก้ว (Pharmacy),ร้านยา (Independent),Pharmacy (independent),TARGET,,"103, 109, Tambon Sam Nak Thon",Amphoe Ban Chang,Chon Buri,12.7144365,101.0022696,pharmacy,5,41,080 005 7133,Monday: 6:00 AM – 9:30 PM | Tuesday: 6:00 AM – 9:30 PM | Wednesday: 6:00 AM – 9:30 PM | Thursday: 6:00 AM – 9:30 PM | Friday: 6:00 AM – 9:30 PM | Saturday: 6:00 AM – 9:30 PM | Sunday: 6:00 AM – 9:30 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","103, 109, Tambon Sam Nak Thon, Amphoe Ban Chang",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJ2zHdo7PxAjERicA_PqkZgj4,ChIJ2zHdo7PxAjERicA_PqkZgj4,Evonik Thai Aerosil (Nicom Asia Maptaphud),Independent (no name keyword),Pharmacy (independent),TARGET,,"P473+877, Soi Asia Be View, Tambon Ban Chang",Amphoe Ban Chang,Chon Buri,12.713283,101.10318,pharmacy,0,0,,,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","P473+877, Soi Asia Be View, Tambon Ban Chang, Amphoe Ban Chang",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJke2YqcwNAzERk3p45mGaMz8,ChIJke2YqcwNAzERk3p45mGaMz8,Jan Dispensary,Independent (dispensary),Pharmacy (independent),TARGET,,"MJPM+P3G, Chak Don",Klaeng District,Chon Buri,12.6868225,101.632696,pharmacy,4,2,089 402 1818,Monday: 7:00 AM – 6:30 PM | Tuesday: 7:00 AM – 6:30 PM | Wednesday: 7:00 AM – 6:30 PM | Thursday: 7:00 AM – 6:30 PM | Friday: 7:00 AM – 6:30 PM | Saturday: 7:00 AM – 6:30 PM | Sunday: 7:00 AM – 6:30 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","MJPM+P3G, Chak Don, Klaeng District",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJlYj5NDcMAzER58fL0lykcYQ,ChIJlYj5NDcMAzER58fL0lykcYQ,Ban Kram Ice,Independent (no name keyword),Pharmacy (independent),TARGET,,"MJGM+M2R, Kram",Klaeng District,Chon Buri,12.6767311,101.6325306,pharmacy,4.3,8,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","MJGM+M2R, Kram, Klaeng District",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJrZpXM-SNAjERuPhEKteTD4E,ChIJrZpXM-SNAjERuPhEKteTD4E,Navy House Village 12,Independent (no name keyword),Pharmacy (independent),TARGET,,"PVWX+R97, Sukhumvit Road, Tambon Bang Sare",Amphoe Sattahip,Chon Buri,12.7470269,100.8984294,pharmacy,3.1,7,,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","PVWX+R97, Sukhumvit Road, Tambon Bang Sare, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJ9Z61Yv-NAjERSSCFqmh4odQ,ChIJ9Z61Yv-NAjERSSCFqmh4odQ,PYB Pharmacy,Independent,Pharmacy (independent),TARGET,,"Unnamed Road, Tambon Bang Sare",Amphoe Sattahip,Chon Buri,12.7630779,100.8937456,pharmacy,4.9,9,090 553 6061,Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 9:00 PM | Saturday: 7:00 AM – 9:00 PM | Sunday: 7:00 AM – 9:00 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","Unnamed Road, Tambon Bang Sare, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJV9RABPiNAjERDUXErAee9mM,ChIJV9RABPiNAjERDUXErAee9mM,Suleeporn Phesat,Independent (no name keyword),Pharmacy (independent),TARGET,,"69/2, Moo 1, Tambon Bang Sare, Amphoe Sattahip, Chon Buri",20250,Chon Buri,12.7625278,100.901176,pharmacy,0,0,038 737 791,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","69/2, Moo 1, Tambon Bang Sare, Amphoe Sattahip, Chon Buri, 20250",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJt3NE8E_zAjERWb246FGBtl4,ChIJt3NE8E_zAjERWb246FGBtl4,บ้านยา หยกยิ้ม - Yokyim Pharmacy,Independent,Pharmacy (independent),TARGET,,"ตึกแถวสามชั้นหน้าหมู่บ้านเธียรธารา, 119/20",Amphoe Sattahip,Chon Buri,12.7402766,100.9910599,pharmacy,5,1,066 132 5993,Monday: 4:30 – 9:00 PM | Tuesday: 4:30 – 9:00 PM | Wednesday: 4:30 – 9:00 PM | Thursday: 4:30 – 9:00 PM | Friday: 4:30 – 9:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","ตึกแถวสามชั้นหน้าหมู่บ้านเธียรธารา, 119/20, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJL8RGezvzAjERqre7oB_i2Ck,ChIJL8RGezvzAjERqre7oB_i2Ck,ร้านนิยมเภสัช Niyom Pharmacy,เภสัช (Independent),Pharmacy (independent),TARGET,,"168, 21, Tambon Ban Chang",Amphoe Ban Chang,Chon Buri,12.7284339,101.0630855,pharmacy,4.6,49,064 824 4499,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","168, 21, Tambon Ban Chang, Amphoe Ban Chang",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJK4ONMGnzAjER4D27-Z19muQ,ChIJK4ONMGnzAjER4D27-Z19muQ,Klaiban pharmacy,Independent,Pharmacy (independent),TARGET,,"210/60, Tambon Ban Chang",Amphoe Ban Chang,Chon Buri,12.7295411,101.0509801,pharmacy,5,3,089 394 8486,Monday: 5:00 – 10:00 PM | Tuesday: 5:00 – 10:00 PM | Wednesday: 5:00 – 10:00 PM | Thursday: 5:00 – 10:00 PM | Friday: 5:00 – 10:00 PM | Saturday: 5:00 – 10:00 PM | Sunday: 5:00 – 10:00 PM,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","210/60, Tambon Ban Chang, Amphoe Ban Chang",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJCQU3fDnyAjERYnaYH5_9OP0,ChIJCQU3fDnyAjERYnaYH5_9OP0,Phairot Pharmacy,Independent,Pharmacy (independent),TARGET,,"P3G3+9H8, Ban Chang",Ban Chang District,Chon Buri,12.7259046,101.053962,pharmacy,5,1,,,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","P3G3+9H8, Ban Chang, Ban Chang District",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJDzfVfjnyAjERS0nDgwlB0Es,ChIJDzfVfjnyAjERS0nDgwlB0Es,Amnuay Wetchaphan Drugstore,Independent,Pharmacy (independent),TARGET,,"Thepjinda Market, Tambon Ban Chang",Amphoe Ban Chang,Chon Buri,12.7255892,101.0539174,pharmacy,4.7,20,033 218 055,Monday: 7:00 AM – 7:30 PM | Tuesday: 7:00 AM – 7:30 PM | Wednesday: 7:00 AM – 7:30 PM | Thursday: 7:00 AM – 7:30 PM | Friday: 7:00 AM – 7:30 PM | Saturday: 7:00 AM – 7:30 PM | Sunday: Closed,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","Thepjinda Market, Tambon Ban Chang, Amphoe Ban Chang",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJoZeuIzryAjERnME5PfeBi0Q,ChIJoZeuIzryAjERnME5PfeBi0Q,Banchang Pharmacy,Independent,Pharmacy (independent),TARGET,,"46/2 Sukhumvit Road, Tambon Ban Chang",Amphoe Ban Chang,Chon Buri,12.7246363,101.0543313,pharmacy,5,1,,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: Closed | Sunday: 9:00 AM – 10:00 PM,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","46/2 Sukhumvit Road, Tambon Ban Chang, Amphoe Ban Chang",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJSd3uZZ3vAjER9awM9WaG9lM,ChIJSd3uZZ3vAjER9awM9WaG9lM,Jaroensook Pharmacy,Independent,Pharmacy (independent),TARGET,,"2, 13 Nong Wa, Tambon Huai Pong",เมือง,Chon Buri,12.7552467,101.1397966,pharmacy,5,4,094 951 9651,Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","2, 13 Nong Wa, Tambon Huai Pong, เมือง",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJEyjEGmmNAjER5bbqmuAj07g,ChIJEyjEGmmNAjER5bbqmuAj07g,ซุ้มNOSLEEP,Independent (no name keyword),Pharmacy (independent),TARGET,,"PV2V+6C8, Soi Sataheep Sukumvit 27, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.7005411,100.8935765,pharmacy,0,0,,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","PV2V+6C8, Soi Sataheep Sukumvit 27, Tambon Sattahip, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJrf0-QoKOAjERCtc2tJYUUjY,ChIJrf0-QoKOAjERCtc2tJYUUjY,Pharmacy Manas,Independent,Pharmacy (independent),TARGET,,Sukhumvit Road,Amphoe Sattahip,Chon Buri,12.6872566,100.8929454,pharmacy,4.7,6,,Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,https://business.google.com/b/105939264936646805801/dashboard/l/00550877820614530393?hl=en,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","Sukhumvit Road, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJvZ56Y52OAjERHfk1EA-IQWg,ChIJvZ56Y52OAjERHfk1EA-IQWg,Montri Pharmacy,Independent,Pharmacy (independent),TARGET,,"12, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.7049866,100.8899361,pharmacy,0,0,,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","12, Tambon Sattahip, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJpUIZq86NAjERtEQPj4haPZM,ChIJpUIZq86NAjERtEQPj4haPZM,ศิริเภสัช (Pharmacy store ),เภสัช (Independent),Pharmacy (independent),TARGET,,"สัตหีบ, 20/19",Amphoe Sattahip,Chon Buri,12.6836977,100.904567,pharmacy,5,1,092 057 0323,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","สัตหีบ, 20/19, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJ3SKPlB-MAjER8bY650mrkJ0,ChIJ3SKPlB-MAjER8bY650mrkJ0,Kor Mor. 1 Khai Ya,Independent (no name keyword),Pharmacy (independent),TARGET,,"171, 87 Sukhumvit Road, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.6734325,100.8978446,pharmacy,5,1,038 438 322,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","171, 87 Sukhumvit Road, Tambon Sattahip, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJvU8qK36OAjERbVgxnty8-8c,ChIJvU8qK36OAjERbVgxnty8-8c,Pharmacy,"Independent (named ""Pharmacy"")",Pharmacy (independent),TARGET,,"PV9Q+92G, Sattahip",Sattahip District,Chon Buri,12.71843,100.8875724,pharmacy,5,1,,Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 9:00 PM | Saturday: 7:00 AM – 9:00 PM | Sunday: 7:00 AM – 9:00 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","PV9Q+92G, Sattahip, Sattahip District",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJT4jlf_iLAjER9r3sTJo9zLc,ChIJT4jlf_iLAjER9r3sTJo9zLc,Suphap Pharmacy,Independent,Pharmacy (independent),TARGET,,"33/1, Moo 8, Sukhumvit Road, Tambon Sattahip, Amphoe Sattahip, Chon Buri",20180,Chon Buri,12.6723707,100.8987966,pharmacy,0,0,038 437 236,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","33/1, Moo 8, Sukhumvit Road, Tambon Sattahip, Amphoe Sattahip, Chon Buri, 20180",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJbW6Si-39AjERoUMt_rdJRng,ChIJbW6Si-39AjERoUMt_rdJRng,"ร้านขายยา Pharmily & ส่งพัสดุ Flash HOME (药店, 약국, 薬局, pharmacy) เข้าร่วมโครงการไทยช่วยไทยพลัส 60/40",Independent,Pharmacy (independent),TARGET,,ล็อค A-007 89/8 หมู่1,Amphoe Ban Khai,Chon Buri,12.734506,101.280441,pharmacy,5,8,064 119 3958,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: Closed,https://line.me/ti/p/LBdH9kNaB7,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","ล็อค A-007 89/8 หมู่1, Amphoe Ban Khai",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJsdHXHIT6AjERNergG931qQk,ChIJsdHXHIT6AjERNergG931qQk,Ban Mor Ya,Independent (no name keyword),Pharmacy (independent),TARGET,,Mueang Rayong District,Chon Buri,Chon Buri,12.7123006,101.1681613,pharmacy,5,1,081 816 5459,Monday: 6:30 AM – 8:30 PM | Tuesday: 6:30 AM – 8:30 PM | Wednesday: 6:30 AM – 8:30 PM | Thursday: 6:30 AM – 8:30 PM | Friday: 6:30 AM – 8:30 PM | Saturday: 6:30 AM – 8:30 PM | Sunday: 6:30 AM – 8:30 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",Mueang Rayong District,0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJuz_2ioP6AjERkym-cVtro-E,ChIJuz_2ioP6AjERkym-cVtro-E,Chai Eua Dispensary,Independent (dispensary),Pharmacy (independent),TARGET,,Mueang Rayong District,Chon Buri,Chon Buri,12.7136296,101.1672758,pharmacy,5,2,,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",Mueang Rayong District,0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJB7rS9S_7AjER4QwZYliuABw,ChIJB7rS9S_7AjER4QwZYliuABw,ร้านยา108ฟาร์มาซี (108 Pharmacy),ร้านยา (Independent),Pharmacy (independent),TARGET,,"เลขที่ 1 ถนน, Tambon Noen Phra",เมือง,Chon Buri,12.6838291,101.2385321,pharmacy,5,2,,Monday: 9:00 AM – 8:45 PM | Tuesday: 9:00 AM – 8:45 PM | Wednesday: 9:00 AM – 8:45 PM | Thursday: 9:00 AM – 8:45 PM | Friday: 9:00 AM – 8:45 PM | Saturday: 9:00 AM – 8:45 PM | Sunday: 9:00 AM – 8:45 PM,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","เลขที่ 1 ถนน, Tambon Noen Phra, เมือง",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJ62nyG-n7AjERpyC0pqggo5g,ChIJ62nyG-n7AjERpyC0pqggo5g,ร้านขายยาดับบลิว ฟาร์มาซี (W Pharmacy),Independent,Pharmacy (independent),TARGET,,"333, 42 ถนน ราษฎร์บำรุง",เมือง,Chon Buri,12.6764251,101.2412583,pharmacy,5,2,,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","333, 42 ถนน ราษฎร์บำรุง, เมือง",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJU6L4ibaTAjERoXseujmLwRU,ChIJU6L4ibaTAjERoXseujmLwRU,Niwat Pharmacy,Independent,Pharmacy (independent),TARGET,,"109, 9",Amphoe Sattahip,Chon Buri,12.8143956,100.9156868,pharmacy,4.6,10,080 293 6653,Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 8:00 PM | Saturday: 7:00 AM – 8:00 PM | Sunday: 7:00 AM – 8:00 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","109, 9, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
