store_id,store_name,address,city,lat,lng,rating,review_count,phone,user_category,reckitt_type,reckitt_tier,reckitt_score
ChIJTdr-kxw2zDERx9yKJtdCK7c,Wmart,"9, Jalan Dua, Off, Jalan Chan Sow Lin",Kuala Lumpur,3.1233739,101.711504,4.1,1097,03-9222 2811,Super/Groceries,Super - Indie retail,Tier 1,28.71
ChIJcWvzsVQ2zDERLodVvDb8Sss,Tayba Mart 1,"LOT 12, JALAN EXCELLA 1, OFF, TAMAN, Jalan Ampang Putra, Ampang Hilir",Ampang Jaya,3.1505749,101.7474241,4.7,449,018-401 7000,Super/Groceries,Super - Indie retail,Tier 1,28.71
ChIJ7_9MFUw2zDER-FSgqFsC624,Star Grocer Desa Pandan,"8, Jalan 1/76C, Desa Pandan",Kuala Lumpur,3.1473595,101.7365457,4.2,885,,Super/Groceries,Super - Sundry/grocer,Tier 1,28.5
ChIJazV4aHpHzDERTxob5Glx83o,TMG Mart Sri Gombak,"Jalan TIB 1, Taman Industri Bolton",Batu Caves,3.2370663,101.6965575,4.0,1191,,Super/Groceries,Super - Tunas Manja,Tier 1,28.33
ChIJOy0GBF-1zTER-aMWx5TLhOU,Grand Union Supermarket Seri Kembangan,"24, Jalan Perusahaan 3, Taman Serdang Jaya",Seri Kembangan,3.016408,101.7041869,4.0,1185,010-269 7814,Super/Groceries,Super - Independent local,Tier 1,28.31
ChIJP_AtHmZLzDERlYlWQLQzsRs,Star Grocer Taman Kinrara,"48-52, Jalan TK 1/11c, Taman Kinrara",Puchong,3.0630341,101.6472421,4.0,1057,,Super/Groceries,Super - Sundry/grocer,Tier 1,27.86
ChIJC5lepphLzDERsr3Iji1uI00,Star Grocer Taman Paramount,"Jalan 20/16, Taman Paramount",Petaling Jaya,3.1069429,101.6243372,4.1,858,,Super/Groceries,Super - Sundry/grocer,Tier 1,27.7
ChIJG2HqtyOtzTERWiCUw1bDCoM,Li-Ter Vegetarian Trading Sdn Bhd,"Jalan Nagasari 36/1, Taman Kandis Permai",Shah Alam,3.0192112,101.4865022,4.8,309,03-3371 5500,Super/Groceries,Super - Indie retail,Tier 1,27.54
ChIJhwzSZYpIzDERD_rH-KzKvwc,Kim's Mart,"No. 7, Jalan Solaris 2, Solaris Mont Kiara",Kuala Lumpur,3.1745425,101.6602358,4.2,687,03-6203 7500,Super/Groceries,Super - Indie retail,Tier 1,27.44
ChIJ2Z1WZWRNzDERz9-GCnKPysM,Salam Point Mart,"I-G-6, Kelana Jaya Parklane Commercial Hub, Jalan SS 7/26",Petaling Jaya,3.1083887,101.5933934,4.9,261,03-3142 2666,Convenience,Conv - Indie mart,Tier 1,27.28
ChIJtWHVmHQ4zDERrV_QKKhTK4k,Tayba Mart 3,"46, Jalan Jernai 4, Medan Idaman Business Centre",Kuala Lumpur,3.2123819,101.7127241,4.6,371,018-402 1000,Super/Groceries,Super - Indie retail,Tier 1,27.23
ChIJf_0NZEyxzTERQw8tylFyoOc,Pasaraya CS Grocer Taman Putra Perdana,"32-40, Jalan Putra Perdana 5e, Taman Putra Perdana",Puchong,2.9419086,101.612337,3.9,1042,03-8319 3189,Super/Groceries,Super - Sundry/grocer,Tier 1,27.1
ChIJ6TeRawDPzTERW1w686lWxAo,ST Rosyam Mart (Semenyih),"PT 35710 HSM 9116, BATU 22, JLN BERANANG MUKIM",Semenyih,2.9368352,101.8531915,4.2,633,,Super/Groceries,Super - Indie retail,Tier 1,27.1
ChIJY0c9Jgc1zDER7MVQe2wnRsY,Memi ZoooZooo Grocer,"G-19, Residensi Majestic Maxim, 45, Jalan 9",Kuala Lumpur,3.0776396,101.741715,4.3,533,,Super/Groceries,Super - Sundry/grocer,Tier 1,27.01
ChIJ9f8_tEpOzDERmfBx5m4TJao,Super Seven Supermarket Subang,"No. 1, Jalan Euro 1, Off Jalan Batu Tiga, Sungai Buloh, Seksyen U3",Shah Alam,3.152898,101.5486959,3.8,1202,03-7859 0861,Super/Groceries,Super - Independent local,Tier 1,26.95
ChIJ1SOIQO-szTERVDEgd-PnDh8,"Econmart Supermarket Bandar Sentosa, Klang","20, Jalan Dato Yussof Shahabudin 30, Taman Sentosa",Klang,3.0103998,101.4666462,3.9,971,03-5162 1300,Super/Groceries,Super - Independent local,Tier 1,26.83
ChIJj-ND4shLzDERZPLbd6Bmu5s,Tanoshi Mart Vegetarian,"10, Jalan Radin Bagus 6, Bandar Baru Sri Petaling",Kuala Lumpur,3.0705658,101.6930212,4.9,226,03-2385 7198,Convenience,Conv - Indie mart,Tier 1,26.58
ChIJt0eddeJHzDER5DDR5L_nrrg,Ong Tai Kim (OTK) Supermarket Sentul,"Jalan Sentul, Sentul Pasar",Kuala Lumpur,3.190945,101.6913571,3.9,896,03-4045 6993,Super/Groceries,Super - Independent local,Tier 1,26.52
ChIJBSEGe_YzzDERYGRH3HBmPHE,Pasaraya CS Hulu Langat,"No. 72A, 86, Jalan Lagenda Suria 3, Jalan",Hulu Langat,3.097,101.800664,3.9,860,03-9021 5833,Hyper,Hyper - Other regional chain,Tier 1,26.36
ChIJX3DjCulJzDERTW4Psa6X4e4,小麦生活中国超市 Wheat Mart KLEC,"Level 2, INC, mall, 3, Jalan Bangsar, KL Eco City",Kuala Lumpur,3.1195322,101.6741244,4.8,224,011-5556 6611,Super/Groceries,Super - Indie retail,Tier 1,26.0
ChIJXT_HVIJHzDER3zNYrJlV3s8,Zee Mart Gombak,"Fasa 1, 2, Jalan Selasih Indah, Taman Selaseh",Batu Caves,3.227672,101.6987064,4.3,407,,Super/Groceries,Super - Indie retail,Tier 1,25.85
ChIJzdQnp4zLzTER65ABBgzTYm8,Tayba Mart 5 (Serdang),"G11, South City Plaza, Sungai Besi Serdang Perdana, Taman Serdang Perdana",Seri Kembangan,3.0283516,101.710188,4.8,216,018-402 4000,Super/Groceries,Super - Indie retail,Tier 1,25.82
ChIJa9MXeFdTzDEREmDw_xjQeSg,Econmart Supermarket Sdn Bhd. Sungai Bertih,Teluk Gadong,Klang,3.0376338,101.4247816,3.9,747,03-3371 6731,Super/Groceries,Super - Independent local,Tier 1,25.81
ChIJofK_sIpLzDER4fQ98gcweiI,Jiale Mart,"15, Jalan Radin Bagus 1, Bandar Baru Sri Petaling",Kuala Lumpur,3.069377,101.694168,4.8,207,012-555 3818,Super/Groceries,Super - Indie retail,Tier 1,25.62
ChIJfUzb0F_5zDERacrThIN57b0,Kedai Miswan (Repair Telefon Dan Komputer Kapar),"Kedai Miswan, BT 13 1/2, Jalan Mawar Kampung Sungai Serdang Kapar",Klang,3.1345908,101.3307427,5.0,150,013-839 0911,Super/Groceries,Super - Generic kedai,Tier 1,25.09
ChIJIS_eVl3dzTERiJCi9sGDA5Y,Family Store Taman Jasper Jaya,"15-18, Jalan Jasper Jaya 1, Taman Jasper Jaya",Seremban,2.7260426,101.9118052,4.0,529,06-765 1699,Hyper,Hyper - Other regional chain,Tier 1,25.09
ChIJ6QGZWGJHzDERYmYZYRfvvkI,Big Mart (Big Supermart Sdn Bhd),"13, Jalan SG 3/19, Taman Sri Gombak",Batu Caves,3.2425028,101.704981,3.9,613,03-6187 9181,Super/Groceries,Super - Independent local,Tier 1,25.04
ChIJDdxKmVqxzTERt8YgbrDLT70,ASIA MART TRIANA,"NO 12A-G, 12-G, 16-G, 18-G & 18, 1, Jalan Aman Tiara 7, BANDAR TROPICANA AMAN",Telok Panglima Garang,2.9487147,101.526538,4.6,227,014-327 3313,Super/Groceries,Super - Indie retail,Tier 1,24.97
ChIJs05iYfFGzDERjdO4o_kFpco,Parkson Selayang Mall,"Jalan SU 9, Taman Selayang Utama",Batu Caves,3.2371015,101.6437584,4.1,440,03-6138 2889,Hyper,Hyper - Other regional chain,Tier 1,24.97
ChIJQ40zjUw2zDERSVGO-Izi57I,Selections Groceries G Village,"No. 35, Jalan 1/76, Desa Pandan",Kuala Lumpur,3.1491322,101.7364781,4.3,326,03-9201 7948,Super/Groceries,Super - Sundry/grocer,Tier 1,24.9
ChIJtfT9fRrBzTERxR5P003IIKQ,Pasaraya CS Grocer Nilai,Taman Memancing Istana Bunian,Nilai,2.7710488,101.7634952,3.7,749,06-791 2328,Super/Groceries,Super - Sundry/grocer,Tier 1,24.49
ChIJw2qWqZ_0zDERMkNncndRhok,Deluxe Household Wholesale Sdn Bhd,"12-26, Jalan 3/1, Bandar Melawati",Kuala Selangor,3.3319973,101.2550327,4.2,334,03-3281 1979,Super/Groceries,Super - Indie retail,Tier 1,24.42
ChIJ6WU3ZJnKzTERKiI8kJFSX_w,Hero Save Mart Taman Sri Serdang,"2, Jalan 18/32, Taman Sri Serdang",Seri Kembangan,3.0091205,101.7149956,3.9,487,,Super/Groceries,Super - Indie retail,Tier 1,24.14
ChIJO5sV2qjJzTERanCBNesHE6Y,Pasar Mini Murni Enterprise Sungai Merab,"Lot 5135, Jalan Aman, Kampung Sungai Merab Luar",Kajang,2.923014,101.7474965,4.4,233,012-355 7789,Super/Groceries,Super - Independent local,Tier 1,24.0
ChIJGd1CYGtGzDERo4FhcHmrqzI,Jutaria Cash & Carry Sdn Bhd,"Lot 11095, A1, Jalan Kepong, Taman Kepong",Kuala Lumpur,3.2126847,101.6331888,3.9,464,03-6263 2008,Super/Groceries,Super - Indie retail,Tier 1,23.95
ChIJg4igjoHLzTERgoTXpZ_7iDE,Chuan Heng Trading Co.,"Lot 869, batu 18, Jalan Kampung Sg Tangkas",Kajang,2.9487354,101.7868938,4.1,332,03-8210 8121,Super/Groceries,Super - Indie retail,Tier 1,23.81
ChIJdSAI5bVVzDERUAhvGXwEXPU,Big Supermart Kapar,"4, Jalan Sungai Kapar Indah 3, Taman Sungai Kapar Indah",Kapar,3.095114,101.3834381,3.8,523,03-3291 9181,Super/Groceries,Super - Independent local,Tier 1,23.79
ChIJr-rEsavnzTERYoJAIrMJ1rc,Devibala Cash & Carry Sdn Bhd,"59, Jalan PKBB 4",Seremban,2.6996157,101.9526613,4.5,174,010-385 5509,Super/Groceries,Super - Indie retail,Tier 1,23.24
ChIJFa1gWwO1zTERyn2PK6VC6zY,MJ Freshy Mart 小南瓜生鲜超市,"NO3, Jalan Equine 9b, Taman Equine",Seri Kembangan,2.9965869,101.674287,5.0,98,017-688 6258,Super/Groceries,Super - Indie retail,Tier 1,22.98
ChIJJ6ul5_42zDER-SAZkheIkYM,Galaxy Korean Mart,"Galaxy Ampang Shopping Centre, 64, Komplex, 5, Jalan Dagang, Taman Dagang",Ampang,3.1481741,101.7558162,3.9,358,03-4278 4989,Super/Groceries,Super - Indie retail,Tier 1,22.94
ChIJyeLvbWerzTERE6n04deWxUE,Econsave Bayu Perdana - Pasar Ekonomi Mart,"41, Jalan Batu Unjur, Pandamaran",Pelabuhan Klang,3.0157537,101.4260798,4.0,299,03-3162 1356,Convenience,Conv - Indie mart,Tier 1,22.82
ChIJ772OZLVHzDERtXIf43VdYWU,ST Rosyam Mart - Taman Ehsan,"Jalan E3/6A, Taman Ehsan",Kepong,3.2216519,101.6245235,3.9,341,018-376 1888,Super/Groceries,Super - Indie retail,Tier 1,22.76
ChIJJQQoJsmtzTERMctz1KHwyPc,GT Mart Bukit Tinggi 1,"28-G & 30-G, 3 /KS06, Jalan Batu Nilam, Bandar Bukit Tinggi 1",Klang,3.0095761,101.4357871,4.9,103,,Convenience,Conv - Indie mart,Tier 1,22.76
ChIJg3KOKTY4zDERkTAaLi4HqUA,Ansari Mart Wangsa Melawati,"41-G, Jalan Wangsa Setia 1, Wangsa Melawati",Kuala Lumpur,3.2098613,101.7442986,4.5,146,019-318 5870,Convenience,Conv - Indie mart,Tier 1,22.46
ChIJnRMWs9DKzTERD00H7DVxv-0,Pasaraya Rakan Balakong - Rakanda Ent Sdn Bhd,"84-96, Jalan PDR 5, Pusat Perniagaan Cheras Maju",Balakong,3.023979,101.746596,4.2,208,03-8964 4000,Super/Groceries,Super - Indie retail,Tier 1,22.44
ChIJbZdVi2hWzDERg_EBhvpBxLM,Asia Mart KAPAR,"23 & 25, Jalan Kapar Batu 10, Taman Sentosa",Klang,3.1326643,101.3760551,4.2,206,010-239 3022,Super/Groceries,Super - Indie retail,Tier 1,22.4
ChIJrQuXEwC1zTERdAOXYWUwIeA,Raja Udang Mini Mart • RUMM,"Sultan Alaeddin Suleiman Shah College, Persiaran Kolej",Serdang,2.9941287,101.7065153,5.0,85,011-1332 1720,Convenience,Conv - Mini-mart,Tier 1,22.27
ChIJyaiWQyNIzDERZpkMjEMoxH0,Wan Lee Heng Cash & Carry Sdn Bhd,"105, Lengkok Raja Laut, Chow Kit",Kuala Lumpur,3.167081,101.6967541,4.1,223,03-4045 5636,Super/Groceries,Super - Indie retail,Tier 1,22.19
ChIJTfgqRdTLzTERJkcIPQl-x50,Shell,Persiaran Kemajuan,Bandar Baru Bangi,2.957635,101.755989,4.1,211,03-8926 2230,Hyper,Hyper - Other regional chain,Tier 1,21.96
ChIJx8iPA3NXzDERhdmev34puMU,GT Mart Bukit Kapar,"43 & 45, Jalan Bukit Kapar, Pekan Kapar",Kapar,3.1397316,101.3785385,4.8,92,03-3292 8822,Convenience,Conv - Indie mart,Tier 1,21.76
ChIJ-YWDwBNIzDERkE8C9PzOMvk,Crescent star Impex Sdn Bhd,"14, Jalan Kovil Hilir, Sentul",Kuala Lumpur,3.1772477,101.6886153,4.3,156,03-4045 2600,Super/Groceries,Super - Indie retail,Tier 1,21.74
ChIJ8T4SQ3qjzTERN_tOZafrbHY,Jazco Supermarket Kanchong Darat,Kanchong Darat,Banting,2.7921647,101.48713,4.0,223,,Super/Groceries,Super - Independent local,Tier 1,21.65
ChIJ3TALS0BHzDERcjjf2-DaeVY,Pasar Raya Well-Mart GB1,"Jalan GP 2, Taman Gombak Permai",Batu Caves,3.2516844,101.6864957,4.0,221,,Super/Groceries,Super - Indie retail,Tier 1,21.61
ChIJrTslSgBbzDER9Zt0pRAKPyw,Payung Mart Sdn Bhd,"No. 5-1, 6-1, 7-1, 7-2 & 7-3, Jalan Bukit Melawati U17/10B, Taman Saujana Permai, Seksyen, U17",Shah Alam,3.2208208,101.4999602,5.0,73,016-365 2858,Super/Groceries,Super - Indie retail,Tier 1,21.52
ChIJW9OtiV04zDERNy39MhD5930,Tayba Mart 4,"No. 5 – G, PV7, Jalan Melati Utama 2, TAMAN MELATI UTAMA",Kuala Lumpur,3.2219627,101.7289057,4.5,113,018-402 3000,Convenience,Conv - Indie mart,Tier 1,21.31
ChIJt8TjVH3OzTERX0xfUgTHuWs,Pasaraya Rakan Semenyih - Rakanda Ent Sdn Bhd,"18-26, Jalan Semenyih Sentral 6, Taman Semenyih Sentral",Semenyih,2.94404,101.844075,4.0,203,03-8723 2799,Super/Groceries,Super - Indie retail,Tier 1,21.27
ChIJ57bc8R63zTERta8WO0_btkg,99 Speedmart 1524 Desa Pinggiran Putra,"No: 7 & 9, Jalan Pinggiran Putra 4A/4, Jalan Sungai Merab, Desa Pinggiran Putra",Kajang,2.9008136,101.7060008,4.0,199,03-3362 6863,Super/Groceries,Super - 99 Speedmart,Tier 1,21.19
ChIJYzfA9OBLzDER8l0dDta4pr0,myNEWS PJ 33 (G Floor),"33, NO, KHOO KAY, UNIT PG-05B, PJ, 3, Jalan Professor Khoo Kay Kim, Seksyen 13",Petaling Jaya,3.1104791,101.6370921,3.7,305,03-7931 2433,Hyper,Hyper - Other regional chain,Tier 1,21.18
ChIJFbeaYq7LzTER-4zOECverDE,99 Speedmart 1296 Taman Saujana Impian,"Ground Floor, No: 21 & 22, Jalan Impian Makmur 3/B, Taman Saujana Impian",Kajang,3.0190488,101.7912631,4.0,193,03-3362 6863,Convenience,Conv - 99 Speedmart,Tier 1,21.07
ChIJ3c_sw1rOzTERC2ktibNx2p0,99 Speedmart 2036 Setia Ecohill,"Ground Floor, No: 3 & 5, Jalan Ecohill 1, 5B, Setia Ecohill",Semenyih,2.9254444,101.8538333,4.0,191,03-3362 6863,Convenience,Conv - 99 Speedmart,Tier 1,21.03
ChIJp_AA_kOrzTERl_kFsr54bxI,Siang Ann Supermarket,"43, Lorong Melikai 4, Kampung Raja Uda",Pelabuhan Klang,3.0215482,101.4168887,4.4,116,011-2823 2399,Super/Groceries,Super - Independent local,Tier 1,20.95
ChIJe3GvVf22zTERXvk8AcLFtN8,Roswel Mart Neo Cyber SepangCyberjayaSelangor Negeri SembilanGrocery/Vegetable/Mineral water,"25G & 26G, Lingkaran Cyber Point Barat, Neo Cyber",Cyberjaya,2.9164404,101.6501217,4.3,129,03-8318 0997,Super/Groceries,Super - Sundry/grocer,Tier 1,20.93
ChIJJTD5w19ezDERqb01Bh4WSLs,Noza Frozen Mart Kuala Selangor,"17-G, Jalan Seri Temenggung 3, Jalan Taman Temenggung",Kuala Selangor,3.3299975,101.2593807,4.3,129,011-5552 2992,Convenience,Conv - Indie mart,Tier 1,20.93
ChIJg25temCzzTERAVyTBC2xeHg,Pasaraya Puchong Herbs & Food Supermarket,"No. 5, 6, 7 & 8, Kompleks Letak Kereta Puteri Central, Persiaran Puteri 1, Bandar Puteri",Puchong,3.01431,101.6136217,4.1,162,016-665 6388,Super/Groceries,Super - Independent local,Tier 1,20.88
ChIJFR5Jr5O3zTER7x5duWa1owU,Maiwp Mart P5,"Jalan P5A, Presint 5",Putrajaya,2.8895916,101.6808563,4.3,120,019-624 9442,Convenience,Conv - Indie mart,Tier 1,20.62
ChIJ86T8drxJzDERKQZOc4aG_0k,Pasaraya BinWalid by CERR Mart Sdn Bhd,"Legasi, 25, Jalan Raja Muda Musa, Kampung Baru",Kuala Lumpur,3.1622335,101.7062249,4.4,107,011-5946 3003,Super/Groceries,Super - Indie retail,Tier 1,20.6
ChIJBeF5IHpHzDERC9eaneb2iH0,YuVin Distributor Sdn Bhd,"8-9, Jalan Samudera Utara 2, Taman Samudra",Batu Caves,3.2351123,101.6965553,4.1,148,018-980 3393,Super/Groceries,Super - Indie retail,Tier 1,20.52
ChIJG_HkK9pEzDERrK9ay9zzpjs,NuKiRa Catan Enterprise,"Jalan Setia, Kampung Cempedak",Rawang,3.2372802,101.5386935,3.8,206,,Super/Groceries,Super - Indie retail,Tier 1,20.26
ChIJW0fwtQPLzTERT6T918siHuI,"RizqHalalMart , Saujana Impian","5, Jalan Impian Makmur 3/B, Saujana Impian",Kajang,3.0190961,101.7908053,5.0,56,019-277 2592,Convenience,Conv - Indie mart,Tier 1,20.22
ChIJLVPmgVWzzTERGHCgQ-QQaOY,99 Speedmart 1164 Taman Putra Prima,"32, Jalan PP 2/2, Taman Putra Prima",Puchong,2.9773183,101.591926,3.8,202,03-3362 6863,Convenience,Conv - 99 Speedmart,Tier 1,20.19
ChIJ7TjBM6LHzTER6c9NfmmRxZY,99 Speedmart 1670 (NS) Putra Nilai,"C-8G, Acacia Avenue, Jalan Jati 9, Desa Jati, Putra Nilai",Nilai,2.8358488,101.7875137,4.1,136,03-3362 6863,Convenience,Conv - 99 Speedmart,Tier 1,20.17
ChIJMzSwns9RzDERZaR58-PBlCw,TMG Mart Alam Budiman,"No. 9- 19, Ground Floor, Jalan Pulau Lumut U10/68, Seksyen U10, Alam Budiman",Shah Alam,3.1442428,101.4805562,4.0,151,09-567 9888,Super/Groceries,Super - Tunas Manja,Tier 1,20.1
ChIJdcFTL-tJzDER9T1oOSCV83w,Kalyaan Store by Asokan - Premium Indian Grocery Shop,"7, Lorong Chan Ah Tong, Brickfields",Kuala Lumpur,3.1291656,101.6846231,4.2,117,03-2276 1617,Super/Groceries,Super - Sundry/grocer,Tier 1,20.04
ChIJ3VtruWStzTERrGVQ6iFXBRo,GT Mart Bandar Puteri Klang,"No. 31 & 33 (Ground Floor, Lorong Sanggul 1a, Bandar Puteri",Klang,2.9882187,101.467377,5.0,53,,Convenience,Conv - Indie mart,Tier 1,19.94
ChIJ8Sni137LzTERFuoBoWYF4u4,Pasaraya Rakan Jade Hill Kajang - Rakanda Ent Sdn Bhd,"B-G-01, B-G-02, B-G-03, B-L1-11, B-L1-12 & B-L1-13, Residensi Setia Impian, Taman Residensi Impian",Kajang,2.9922892,101.7634381,4.4,91,03-8734 2586,Super/Groceries,Super - Indie retail,Tier 1,19.9
ChIJw-TzFcXJzTERxv3PxGpAojw,Makkah Mart,"20, Jalan Perak P15",Putrajaya,2.9468165,101.7235621,4.7,67,012-500 4191,Super/Groceries,Super - Indie retail,Tier 1,19.83
ChIJ4Z77peFLzDER0wBzdUxThYA,BilaBila Mart - Desa Green,"Unit No. 2-G-3A Ground Floor, Desa Green No. 85, Jalan Bakti",Kuala Lumpur,3.1059027,101.6948253,4.5,81,03-2702 3018,Convenience,Conv - BilaBila Mart,Tier 1,19.83
ChIJaaqx-WTBzTEROxjh6w207uw,Pasaraya zemart,Persada Kasih,Bandar Baru Enstek,2.7547305,101.7613755,4.2,107,06-791 5782,Super/Groceries,Super - Indie retail,Tier 1,19.66
ChIJdb0-F3FHzDER3mxUha2ehYw,D’SOLEH MART,"No 4, Gerai MPS, Kg Kenanga Batu 18, Jalan Ipoh - Kuala Lumpur",Rawang,3.3146936,101.5787134,4.3,95,016-234 7413,Super/Groceries,Super - Indie retail,Tier 1,19.63
ChIJM8wOHfg1zDEREEqdJfjqNss,CB WHOLESALE MART (CHERAS),"No, Jalan Sri Permaisuri 9, Bandar Sri Permaisuri",Kuala Lumpur,3.1018485,101.7075374,3.9,151,012-735 7136,Super/Groceries,Super - Indie retail,Tier 1,19.59
ChIJJ0RoF5StzTERfQqL9_n5Hpo,99 Speedmart 1016 - Bandar Sentosa,"41-43, Jalan Datuk Yusuf Shahbuddin 28, Taman Sentosa",Klang,3.0077635,101.4641333,3.9,149,03-3362 6863,Convenience,Conv - 99 Speedmart,Tier 1,19.54
ChIJbZtCTx3WzTERYBNZ3e8IjfI,99 Speedmart 1444 (NS) Kuala Klawang,"No: 4 & 5, Jalan Dato, Mentari",Kuala Klawang,2.9405882,102.070817,3.8,168,03-3362 6863,Super/Groceries,Super - 99 Speedmart,Tier 1,19.49
ChIJ30rsFAA1zDERzKhVM8iv9oY,许多鱼中国超市蕉赖分店 XUDUOYU SDN BHD,"4, Jalan Manis 3, Taman Bukit Segar",Kuala Lumpur,3.0888588,101.7438469,4.9,52,011-6932 3288,Super/Groceries,Super - Indie retail,Tier 1,19.45
ChIJtf0LuCVpzDEROzdexSzOv9s,99 Speedmart 1521 Bukit Sentosa,"No: 1 & 3, Perniagaan Jalan Seroja, Jalan Seroja 1A, Bukit Sentosa",Rawang,3.41761,101.5774561,4.1,113,,Super/Groceries,Super - 99 Speedmart,Tier 1,19.42
ChIJDcSkeUKrzTERUuvYecljpRk,99 Speedmart 1309 Bayu Perdana 2,"No: 312 (GF, Jalan Batu Unjur 7, Taman Bayu Perdana",Klang,3.0161211,101.4279984,4.1,113,03-3362 6863,Convenience,Conv - 99 Speedmart,Tier 1,19.42
ChIJZYwLG7rPzTERax0pjMAP__M,PJH FRESHMART Bandar Tasik Kesuma,"Pangsapuri Baiduri, Blok F, Jalan Kesuma 3, Bandar Tasik Kesuma",Beranang,2.9034617,101.8603174,3.9,142,,Super/Groceries,Super - Indie retail,Tier 1,19.36
ChIJ7WUdhXBHzDERVUN9NQYLnOw,TF Value-Mart Batu Caves,"10243, Jalan Batu Caves",Batu Caves,3.2351788,101.6941969,3.4,295,03-6189 1924,Super/Groceries,Super - TF Value,Tier 1,19.35
ChIJy7RtJLBVzDERu3HjNeNtjEg,99 Speedmart 1008 Klang Utama 1,"2, Jalan Sungai Puloh 13, Taman Klang Utama",Klang,3.0785041,101.4204686,3.8,161,03-3362 6863,Convenience,Conv - 99 Speedmart,Tier 1,19.33
ChIJneuOjbdPzDER5bdyoUYVfXg,KK Super Mart,"15-A, Jalan Bulan U5/163, Bandar Pinggiran Subang",Shah Alam,3.1606935,101.5479052,3.6,214,016-330 8519,Convenience,Conv - KK Mart,Tier 1,19.33
ChIJ7_lB4UNGzDERbVlJCj4ddtY,Zhong Guo Meng Market Sdn Bhd,"D-G, 2A, Jalan Metro Perdana 3, Taman Usahawan Kepong",Kuala Lumpur,3.2162924,101.6431074,4.0,124,011-3650 6882,Super/Groceries,Super - Indie retail,Tier 1,19.31
ChIJK-TUtHaxzTERnWa5exG3t10,HOMEMART MINI MARKET,"BSP21, Jalan Saujana Putra, Bandar Saujana Putra",Jenjarom,2.943333,101.5883916,4.2,98,019-266 2956,Super/Groceries,Super - Independent local,Tier 1,19.3
ChIJO04YAlc5zDERAdnl4nhChJg,810 Freshmart Wangsa Maju klinik kasut,"No. 19, 1 & 20-1, Jalan Metro Wangsa, Wangsa Maju",Kuala Lumpur,3.2044851,101.7366231,3.9,140,010-366 9887,Super/Groceries,Super - Indie retail,Tier 1,19.3
